method,model_label,seed,split,noise_percent,full_rollout_loss,metric_convention,source_path,optimizer_updates,checkpoint_source,config_source,update_count_source,n_observation_times,plotted_loss,plotted_reduction,metrics_source
original,Original ChemKAN,0,train,0,0.062016528099775314,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/checkpoint_final.pt,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.002067217603325844,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
original,Original ChemKAN,0,test_clean,0,0.08140052855014801,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/checkpoint_final.pt,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.0027133509516716003,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,0,train,0,0.03255497291684151,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed0/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.001085165763894717,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,0,test_clean,0,0.08501674979925156,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed0/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.002833891659975052,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
original,Original ChemKAN,1,train,0,0.02246636152267456,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/baseline_original_seed1/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/baseline_original_seed1/config.json,final checkpoint training metadata; one update per epoch,30,0.0007488787174224854,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
original,Original ChemKAN,1,test_clean,0,0.06324248760938644,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/baseline_original_seed1/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/baseline_original_seed1/config.json,final checkpoint training metadata; one update per epoch,30,0.0021080829203128813,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,1,train,0,0.023246200755238533,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed1/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed1/config.json,final checkpoint training metadata; one update per epoch,30,0.0007748733585079511,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,1,test_clean,0,0.06732618063688278,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed1/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed1/config.json,final checkpoint training metadata; one update per epoch,30,0.002244206021229426,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
original,Original ChemKAN,2,train,0,0.03311996906995773,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/baseline_original_seed2/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/baseline_original_seed2/config.json,final checkpoint training metadata; one update per epoch,30,0.0011039989689985911,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
original,Original ChemKAN,2,test_clean,0,0.055666740983724594,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/baseline_original_seed2/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/baseline_original_seed2/config.json,final checkpoint training metadata; one update per epoch,30,0.0018555580327908197,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,2,train,0,0.018137674778699875,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed2/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed2/config.json,final checkpoint training metadata; one update per epoch,30,0.0006045891592899958,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
observed_interval,Observed-interval ChemKAN,2,test_clean,0,0.07055117934942245,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/experiments/biodiesel_observed_intervals/tables/observed_intervals_final_comparison.csv,10000,results/experiments/biodiesel_observed_intervals/seed2/checkpoint_final.pt,results/experiments/biodiesel_observed_intervals/seed2/config.json,final checkpoint training metadata; one update per epoch,30,0.002351705978314082,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),
deeponet,Reference DeepONet (seed 0),0,train,0,0.02269730344414711,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/reproduction/tables/biodiesel_fig5a_metrics.csv,10000,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/checkpoint_final.pt,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.0007565767814715703,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/metrics.json
deeponet,Reference DeepONet (seed 0),0,test_clean,0,0.06486620754003525,"normalized full-trajectory MSE: mean over species, sum over observation times, mean over trajectories; train-only min-max normalization",results/reproduction/tables/biodiesel_fig5a_metrics.csv,10000,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/checkpoint_final.pt,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/config.json,final checkpoint training metadata; one update per epoch,30,0.002162206918001175,Time-averaged diagnostic: Eq. 18 loss / $N_t$ ($N_t$ = 30),results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/metrics.json
