method,seed,interval,t_start_s,t_end_s,species,mean_normalized_squared_endpoint_error
original,0,0,0.0,1.034482717514038,TG,7.686830213060603e-05
original,0,0,0.0,1.034482717514038,ROH,9.112666884902865e-05
original,0,0,0.0,1.034482717514038,DG,0.0020180479623377323
original,0,0,0.0,1.034482717514038,MG,0.002022530185058713
original,0,0,0.0,1.034482717514038,GL,0.00011013165203621611
original,0,0,0.0,1.034482717514038,RCO2R,8.99876540643163e-05
original,0,1,1.034482717514038,2.068965435028076,TG,4.7276389523176476e-05
original,0,1,1.034482717514038,2.068965435028076,ROH,5.798348502139561e-05
original,0,1,1.034482717514038,2.068965435028076,DG,0.0010587179567664862
original,0,1,1.034482717514038,2.068965435028076,MG,0.0002507050521671772
original,0,1,1.034482717514038,2.068965435028076,GL,8.701245678821579e-05
original,0,1,1.034482717514038,2.068965435028076,RCO2R,4.8574853281024843e-05
original,0,2,2.068965435028076,3.1034483909606934,TG,3.013170135091059e-05
original,0,2,2.068965435028076,3.1034483909606934,ROH,4.6406014007516205e-05
original,0,2,2.068965435028076,3.1034483909606934,DG,0.0005137684638611972
original,0,2,2.068965435028076,3.1034483909606934,MG,0.00013852979463990778
original,0,2,2.068965435028076,3.1034483909606934,GL,6.561570626217872e-05
original,0,2,2.068965435028076,3.1034483909606934,RCO2R,4.187214290141128e-05
original,0,3,3.1034483909606934,4.137930870056152,TG,1.9083659935859032e-05
original,0,3,3.1034483909606934,4.137930870056152,ROH,3.796503006014973e-05
original,0,3,3.1034483909606934,4.137930870056152,DG,0.000285872898530215
original,0,3,3.1034483909606934,4.137930870056152,MG,0.0001645693846512586
original,0,3,3.1034483909606934,4.137930870056152,GL,5.5330991017399356e-05
original,0,3,3.1034483909606934,4.137930870056152,RCO2R,3.829471825156361e-05
original,0,4,4.137930870056152,5.1724138259887695,TG,1.179763967229519e-05
original,0,4,4.137930870056152,5.1724138259887695,ROH,3.032367749256082e-05
original,0,4,4.137930870056152,5.1724138259887695,DG,0.0001964057155419141
original,0,4,4.137930870056152,5.1724138259887695,MG,0.00015229053678922355
original,0,4,4.137930870056152,5.1724138259887695,GL,5.328491170075722e-05
original,0,4,4.137930870056152,5.1724138259887695,RCO2R,3.3034382795449346e-05
original,0,5,5.1724138259887695,6.206896781921387,TG,7.133489361876855e-06
original,0,5,5.1724138259887695,6.206896781921387,ROH,2.3674339900026098e-05
original,0,5,5.1724138259887695,6.206896781921387,DG,0.00014997573453001678
original,0,5,5.1724138259887695,6.206896781921387,MG,0.00011765593808377162
original,0,5,5.1724138259887695,6.206896781921387,GL,5.4141233704285696e-05
original,0,5,5.1724138259887695,6.206896781921387,RCO2R,2.6853846065932885e-05
original,0,6,6.206896781921387,7.241379261016846,TG,4.341373369243229e-06
original,0,6,6.206896781921387,7.241379261016846,ROH,1.8185162844019942e-05
original,0,6,6.206896781921387,7.241379261016846,DG,0.0001166326692327857
original,0,6,6.206896781921387,7.241379261016846,MG,8.130833884933963e-05
original,0,6,6.206896781921387,7.241379261016846,GL,5.4703501518815756e-05
original,0,6,6.206896781921387,7.241379261016846,RCO2R,2.0798372133867815e-05
original,0,7,7.241379261016846,8.275861740112305,TG,2.871423248507199e-06
original,0,7,7.241379261016846,8.275861740112305,ROH,1.3861777915735729e-05
original,0,7,7.241379261016846,8.275861740112305,DG,9.019354911288247e-05
original,0,7,7.241379261016846,8.275861740112305,MG,5.191671516513452e-05
original,0,7,7.241379261016846,8.275861740112305,GL,5.380179936764762e-05
original,0,7,7.241379261016846,8.275861740112305,RCO2R,1.552217327116523e-05
original,0,8,8.275861740112305,9.310344696044922,TG,2.3151303594204364e-06
original,0,8,8.275861740112305,9.310344696044922,ROH,1.0642365850799251e-05
original,0,8,8.275861740112305,9.310344696044922,DG,6.990831752773374e-05
original,0,8,8.275861740112305,9.310344696044922,MG,3.132591882604174e-05
original,0,8,8.275861740112305,9.310344696044922,GL,5.147351112100296e-05
original,0,8,8.275861740112305,9.310344696044922,RCO2R,1.1346788596711121e-05
original,0,9,9.310344696044922,10.344827651977539,TG,2.374699079155107e-06
original,0,9,9.310344696044922,10.344827651977539,ROH,8.415499905822799e-06
original,0,9,9.310344696044922,10.344827651977539,DG,5.535316813620739e-05
original,0,9,9.310344696044922,10.344827651977539,MG,1.867464197857771e-05
original,0,9,9.310344696044922,10.344827651977539,GL,4.824989446206018e-05
original,0,9,9.310344696044922,10.344827651977539,RCO2R,8.356437319889665e-06
original,0,10,10.344827651977539,11.379310607910156,TG,2.8337849471427035e-06
original,0,10,10.344827651977539,11.379310607910156,ROH,7.046985956549179e-06
original,0,10,10.344827651977539,11.379310607910156,DG,4.568848817143589e-05
original,0,10,10.344827651977539,11.379310607910156,MG,1.23289482871769e-05
original,0,10,10.344827651977539,11.379310607910156,GL,4.472746513783932e-05
