epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,6075.609375,6075.609375,6117.1611328125,6117.26123046875,0.3127
1,5642.9658203125,5642.9658203125,5687.9091796875,5688.00390625,0.3931
2,5238.0400390625,5238.0400390625,5287.09765625,5287.18798828125,0.476
3,4858.2490234375,4858.2490234375,4909.4482421875,4909.5322265625,0.5693
4,4500.421875,4500.421875,4552.064453125,4552.1435546875,0.6512
5,4163.32275390625,4163.32275390625,4214.2880859375,4214.3623046875,0.7343
6,3846.291748046875,3846.291748046875,3895.91650390625,3895.98828125,0.8308
7,3549.20166015625,3549.20166015625,3597.09033203125,3597.15966796875,0.9183
8,3272.834716796875,3272.834716796875,3318.229736328125,3318.29736328125,1.0112
9,3018.135009765625,3018.135009765625,3059.9765625,3060.041748046875,1.1086
10,2785.04833984375,2785.04833984375,2822.8076171875,2822.87060546875,1.2082
11,2572.885986328125,2572.885986328125,2606.535888671875,2606.596435546875,1.314
12,2380.357421875,2380.357421875,2410.11865234375,2410.17724609375,1.4188
13,2205.53076171875,2205.53076171875,2231.746826171875,2231.80322265625,1.5249
14,2046.057373046875,2046.057373046875,2069.126953125,2069.181640625,1.6279
15,1899.505859375,1899.505859375,1919.8306884765625,1919.8834228515625,1.7301
16,1763.648193359375,1763.648193359375,1781.595947265625,1781.6468505859375,1.83
17,1636.62353515625,1636.62353515625,1652.512451171875,1652.561767578125,1.9243
18,1516.9793701171875,1516.9793701171875,1531.077392578125,1531.124755859375,2.0284
19,1403.6373291015625,1403.6373291015625,1416.164794921875,1416.210693359375,2.1234
20,1295.822998046875,1295.822998046875,1306.964599609375,1307.0089111328125,2.2183
21,1193.0,1193.0,1202.9088134765625,1202.95166015625,2.3117
22,1094.8076171875,1094.8076171875,1103.612548828125,1103.6539306640625,2.4025
23,1001.0167846679688,1001.0167846679688,1008.8272705078125,1008.8673095703125,2.4943
24,911.4949340820312,911.4949340820312,918.4054565429688,918.4442138671875,2.5873
25,826.1867065429688,826.1867065429688,832.2786865234375,832.3160400390625,2.6817
26,745.0914916992188,745.0914916992188,750.43896484375,750.4749755859375,2.7735
27,668.251953125,668.251953125,672.9266357421875,672.9613037109375,2.8668
28,595.74267578125,595.74267578125,599.8201293945312,599.853515625,2.9623
29,527.6590576171875,527.6590576171875,531.2268676757812,531.259033203125,3.0566
30,464.10662841796875,464.10662841796875,467.27398681640625,467.304931640625,3.1486
31,405.18505859375,405.18505859375,408.09527587890625,408.12518310546875,3.2418
32,350.9676208496094,350.9676208496094,353.8140869140625,353.843017578125,3.3393
33,301.4852294921875,301.4852294921875,304.5166931152344,304.5448303222656,3.4415
34,256.7699279785156,256.7699279785156,260.2177429199219,260.2452087402344,3.5359
35,216.98153686523438,216.98153686523438,220.8238525390625,220.85079956054688,3.6308
36,182.40785217285156,182.40785217285156,186.1225128173828,186.1491241455078,3.7292
37,153.376953125,153.376953125,155.84234619140625,155.8686981201172,3.8367
38,131.01876831054688,131.01876831054688,130.1575164794922,130.18338012695312,3.9349
39,128.66477966308594,128.66477966308594,122.7918701171875,122.805908203125,4.0319
40,140.81752014160156,140.81752014160156,137.4132537841797,137.4143524169922,4.1123
41,141.57662963867188,141.57662963867188,137.29812622070312,137.29849243164062,4.1794
42,136.2919464111328,136.2919464111328,131.59725952148438,131.59829711914062,4.2438
43,129.0222930908203,129.0222930908203,124.11259460449219,124.11456298828125,4.3055
44,121.1877212524414,121.1877212524414,116.14289855957031,116.14591217041016,4.3679
45,113.48210144042969,113.48210144042969,108.334716796875,108.33880615234375,4.4301
46,106.29585266113281,106.29585266113281,101.0524673461914,101.0575942993164,4.4922
47,99.83299255371094,99.83299255371094,94.4817886352539,94.48786926269531,4.5571
48,94.14157104492188,94.14157104492188,88.656005859375,88.66294860839844,4.622
49,89.12220764160156,89.12220764160156,83.46388244628906,83.47160339355469,4.6948
50,84.55113220214844,84.55113220214844,78.67244720458984,78.68089294433594,4.78
51,80.13358306884766,80.13358306884766,73.9842758178711,73.99337005615234,4.8606
52,75.57929992675781,75.57929992675781,69.12323760986328,69.13298034667969,4.9437
53,70.6739501953125,70.6739501953125,63.91844940185547,63.928863525390625,5.0285
54,65.31532287597656,65.31532287597656,58.34175491333008,58.3529052734375,5.1152
55,59.49805450439453,59.49805450439453,52.47321701049805,52.4851188659668,5.1968
56,53.296424865722656,53.296424865722656,46.45598602294922,46.4686279296875,5.2856
57,46.92886734008789,46.92886734008789,40.546363830566406,40.55978012084961,5.3713
58,40.86461639404297,40.86461639404297,35.19224166870117,35.20655059814453,5.4471
59,36.061763763427734,36.061763763427734,31.008275985717773,31.02358627319336,5.5403
60,34.7957649230957,34.7957649230957,28.836360931396484,28.852779388427734,5.63
61,34.848968505859375,34.848968505859375,30.298364639282227,30.316638946533203,5.7097
62,38.743995666503906,38.743995666503906,32.49885177612305,32.518157958984375,5.794
63,39.75994110107422,39.75994110107422,32.069358825683594,32.088478088378906,5.877
64,34.915863037109375,34.915863037109375,28.486242294311523,28.50390625,5.9626
65,29.27469253540039,29.27469253540039,23.86790657043457,23.883310317993164,6.0387
66,26.720104217529297,26.720104217529297,20.970882415771484,20.984115600585938,6.1153
67,25.238439559936523,25.238439559936523,19.948562622070312,19.960309982299805,6.1912
68,24.077266693115234,24.077266693115234,19.53232192993164,19.542760848999023,6.2666
69,23.452075958251953,23.452075958251953,19.300140380859375,19.309368133544922,6.3442
70,23.063640594482422,23.063640594482422,18.947967529296875,18.95608901977539,6.4229
71,22.452373504638672,22.452373504638672,18.34218406677246,18.349294662475586,6.5066
72,21.533023834228516,21.533023834228516,17.45702362060547,17.463214874267578,6.5883
73,20.3250789642334,20.3250789642334,16.324649810791016,16.330005645751953,6.6749
74,18.892436981201172,18.892436981201172,15.00933837890625,15.013941764831543,6.7711
75,17.327640533447266,17.327640533447266,13.5939302444458,13.597867965698242,6.8596
76,15.764490127563477,15.764490127563477,12.173345565795898,12.176702499389648,6.945
77,14.431897163391113,14.431897163391113,10.855058670043945,10.85791301727295,7.0323
78,13.378454208374023,13.378454208374023,9.748357772827148,9.750783920288086,7.114
79,12.51154899597168,12.51154899597168,8.91179084777832,8.913877487182617,7.1968
80,11.994117736816406,11.994117736816406,8.40820026397705,8.410075187683105,7.2816
81,11.989652633666992,11.989652633666992,8.288228034973145,8.290066719055176,7.3665
82,12.191258430480957,12.191258430480957,8.45931625366211,8.461258888244629,7.4479
83,12.243675231933594,12.243675231933594,8.634574890136719,8.636537551879883,7.5362
