epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.965736e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
1,8.317698e+00,2.725548e+01,1050.0,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
2,7.844657e+00,2.474967e+01,1083.7,False,,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
5,6.306721e+00,2.506649e+01,1105.2,False,,1.712274e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
10,4.380602e+00,9.253218e+00,3467.3,True,3.673469e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.5,-106649,67937.8,-23305.2,57632.1,15748.3
20,3.734807e+00,1.082574e+01,3314.3,True,4.040816e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.5,-106649,67937.8,-23305.2,57632.1,15748.3
50,5.048283e+00,1.238111e+01,3191.1,True,3.673469e-04,1.712274e+05,58370.6,-50000.6,-21961.1,53171.5,-106649,67937.8,-23305.2,57632.1,15748.3
100,2.923060e+00,5.434710e+00,2956.9,True,3.183673e-04,1.712274e+05,58370.6,-50000.6,-21961,53171.5,-106649,67937.8,-23305.2,57632.1,15748.3
200,1.749239e+00,3.029634e+00,2847.0,True,2.571429e-04,1.712274e+05,58370.6,-50000.6,-21960.9,53171.5,-106649,67937.8,-23305.2,57632.1,15748.3
500,2.766831e+00,7.066182e+00,2471.0,True,3.306122e-04,1.712274e+05,58370.6,-50000.6,-21960.9,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
