epoch,total_loss,state_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,3.0814616680145264,3.081416606903076,4.506111145019531e-05,7.91,7.909963,1520
1,3.9106762409210205,3.9106156826019287,6.0558319091796875e-05,16.0027,8.092688,1496
2,4.010930061340332,4.010869026184082,6.103515625e-05,24.0768,8.074138,1508
3,3.5684080123901367,3.568350315093994,5.7697296142578125e-05,31.6847,7.607956,1466
4,2.9281415939331055,2.9280922412872314,4.935264587402344e-05,39.3906,7.705874,1490
5,3.574028968811035,3.573988199234009,4.076957702636719e-05,47.6049,8.214284,1526
6,3.6024134159088135,3.602372884750366,4.0531158447265625e-05,55.6846,8.079734,1544
7,2.964873790740967,2.9648289680480957,4.482269287109375e-05,63.9928,8.30818,1526
8,2.997206687927246,2.9971561431884766,5.054473876953125e-05,72.3305,8.337715,1490
9,3.271279811859131,3.2712254524230957,5.435943603515625e-05,80.3857,8.055148,1406
10,3.3316798210144043,3.331624984741211,5.4836273193359375e-05,88.6327,8.247037,1472
11,3.190763235092163,3.1907098293304443,5.340576171875e-05,96.4045,7.771739,1472
12,2.8706698417663574,2.8706207275390625,4.9114227294921875e-05,104.3702,7.965733,1490
13,2.8147497177124023,2.8147048950195312,4.482269287109375e-05,112.419,8.048772,1514
14,3.1005403995513916,3.1004979610443115,4.2438507080078125e-05,120.6753,8.256299,1538
15,2.9800772666931152,2.980034112930298,4.315376281738281e-05,128.8978,8.222499,1520
16,2.697378158569336,2.6973326206207275,4.553794860839844e-05,136.9179,8.020142,1496
17,2.7668819427490234,2.766834020614624,4.792213439941406e-05,145.0719,8.154022,1520
18,2.8906846046447754,2.8906350135803223,4.9591064453125e-05,153.1712,8.099228,1502
19,2.737401247024536,2.737353563308716,4.76837158203125e-05,161.3672,8.196018,1514
20,2.626664400100708,2.6266186237335205,4.57763671875e-05,169.9358,8.568626,1514
21,2.74344801902771,2.7434043884277344,4.363059997558594e-05,178.2014,8.265589,1502
22,2.7666327953338623,2.766589403152466,4.3392181396484375e-05,186.441,8.239651,1514
23,2.608128309249878,2.608083486557007,4.482269287109375e-05,194.7474,8.306405,1544
24,2.6441311836242676,2.644084930419922,4.6253204345703125e-05,203.065,8.317582,1526
25,2.71823787689209,2.718191146850586,4.673004150390625e-05,211.5105,8.445453,1550
26,2.686744213104248,2.6866981983184814,4.601478576660156e-05,219.9436,8.433133,1544
27,2.5918383598327637,2.5917937755584717,4.458427429199219e-05,228.4187,8.475048,1532
28,2.631193161010742,2.631150245666504,4.291534423828125e-05,236.8202,8.401546,1544
29,2.662790298461914,2.662748098373413,4.220008850097656e-05,245.1693,8.349056,1526
30,2.5623581409454346,2.5623152256011963,4.291534423828125e-05,253.655,8.485706,1538
31,2.5967860221862793,2.596742630004883,4.3392181396484375e-05,262.1225,8.467552,1550
32,2.624316453933716,2.6242733001708984,4.315376281738281e-05,270.6188,8.49625,1556
33,2.570504665374756,2.570462465286255,4.220008850097656e-05,279.1127,8.493977,1544
34,2.550417184829712,2.5503764152526855,4.076957702636719e-05,287.54,8.427276,1526
35,2.5943408012390137,2.5943009853363037,3.981590270996094e-05,295.945,8.404981,1514
36,2.550758123397827,2.550718307495117,3.981590270996094e-05,304.3053,8.360293,1508
37,2.5446548461914062,2.544614791870117,4.00543212890625e-05,312.6289,8.32357,1520
38,2.5797479152679443,2.5797080993652344,3.981590270996094e-05,320.9751,8.346258,1520
39,2.534942150115967,2.5349032878875732,3.886222839355469e-05,329.2414,8.266242,1502
40,2.543572187423706,2.543534517288208,3.7670135498046875e-05,337.5449,8.303547,1508
41,2.5552268028259277,2.555189847946167,3.695487976074219e-05,345.7458,8.200878,1502
42,2.522473096847534,2.5224361419677734,3.695487976074219e-05,354.0603,8.314521,1490
43,2.5302608013153076,2.530223846435547,3.695487976074219e-05,362.4549,8.394603,1514
44,2.535588264465332,2.5355517864227295,3.647804260253906e-05,370.8175,8.362635,1520
45,2.5108718872070312,2.510836362838745,3.552436828613281e-05,379.0868,8.269279,1514
46,2.516727924346924,2.516693115234375,3.4809112548828125e-05,387.4111,8.324308,1484
47,2.516587734222412,2.5165536403656006,3.409385681152344e-05,395.6965,8.285371,1502
48,2.4983415603637695,2.498307466506958,3.409385681152344e-05,404.0835,8.387037,1514
49,2.509528636932373,2.5094950199127197,3.361701965332031e-05,412.4378,8.354226,1526
50,2.4996285438537598,2.4995954036712646,3.314018249511719e-05,422.2961,9.858339,1520
51,2.4925155639648438,2.492483377456665,3.218650817871094e-05,431.8461,9.549961,1520
52,2.499405860900879,2.4993741512298584,3.170967102050781e-05,441.0765,9.230447,1508
53,2.4848523139953613,2.484821081161499,3.123283386230469e-05,449.4657,8.389154,1526
54,2.49165415763855,2.4916231632232666,3.0994415283203125e-05,458.4277,8.96206,1532
55,2.483647108078003,2.483616828918457,3.0279159545898438e-05,466.8141,8.386401,1508
56,2.4811341762542725,2.4811043739318848,2.9802322387695312e-05,475.3374,8.523237,1526
57,2.480860948562622,2.4808316230773926,2.9325485229492188e-05,483.9103,8.572952,1508
58,2.47383451461792,2.4738056659698486,2.8848648071289062e-05,492.4549,8.544599,1544
59,2.4764466285705566,2.4764182567596436,2.8371810913085938e-05,501.0416,8.586728,1526
60,2.468526840209961,2.468498945236206,2.7894973754882812e-05,509.6987,8.657103,1532
61,2.4705922603607178,2.470564842224121,2.7418136596679688e-05,518.1887,8.489928,1526
62,2.4650962352752686,2.465069055557251,2.7179718017578125e-05,526.5301,8.341468,1502
63,2.464207172393799,2.4641804695129395,2.6702880859375e-05,535.078,8.547832,1532
64,2.462620735168457,2.4625942707061768,2.6464462280273438e-05,543.5623,8.484366,1526
65,2.458301067352295,2.458275079727173,2.5987625122070312e-05,552.0369,8.474508,1520
66,2.4590368270874023,2.4590110778808594,2.574920654296875e-05,560.4488,8.411929,1496
67,2.4540059566497803,2.4539804458618164,2.5510787963867188e-05,568.9629,8.514085,1520
68,2.454497814178467,2.454472541809082,2.5272369384765625e-05,577.3269,8.364042,1520
69,2.4503798484802246,2.450354814529419,2.5033950805664062e-05,585.7935,8.466613,1502
70,2.4499378204345703,2.4499127864837646,2.5033950805664062e-05,594.1281,8.334599,1520
71,2.4468607902526855,2.446835994720459,2.47955322265625e-05,602.5311,8.402989,1502
72,2.4456288814544678,2.445604085922241,2.47955322265625e-05,610.937,8.405857,1532
73,2.443636655807495,2.4436120986938477,2.4557113647460938e-05,619.4012,8.464243,1526
74,2.441642999649048,2.4416184425354004,2.4557113647460938e-05,627.8828,8.481628,1520
75,2.440267562866211,2.4402430057525635,2.4557113647460938e-05,636.2075,8.324661,1514
76,2.438159465789795,2.4381349086761475,2.4557113647460938e-05,644.8354,8.627907,1550
77,2.4369750022888184,2.436950445175171,2.4557113647460938e-05,653.279,8.443597,1538
78,2.4347383975982666,2.434713840484619,2.4557113647460938e-05,661.7463,8.467289,1532
79,2.433685779571533,2.4336612224578857,2.4557113647460938e-05,670.218,8.471752,1526
80,2.4315531253814697,2.4315285682678223,2.4557113647460938e-05,678.6789,8.460812,1538
81,2.4304325580596924,2.430407762527466,2.47955322265625e-05,688.4191,9.740263,1532
82,2.4284064769744873,2.4283816814422607,2.47955322265625e-05,696.8479,8.428741,1538
83,2.4272971153259277,2.427272319793701,2.47955322265625e-05,705.7136,8.86574,1544
84,2.425445556640625,2.4254205226898193,2.5033950805664062e-05,714.0288,8.315209,1508
85,2.4242818355560303,2.4242568016052246,2.5033950805664062e-05,722.7782,8.749376,1562
86,2.4225738048553467,2.422548532485962,2.5272369384765625e-05,731.4338,8.655653,1550
87,2.4213879108428955,2.4213624000549316,2.5510787963867188e-05,740.0055,8.571686,1538
88,2.4198367595672607,2.4198110103607178,2.574920654296875e-05,748.6051,8.59962,1550
89,2.418592929840088,2.418567180633545,2.574920654296875e-05,757.2563,8.651143,1568
90,2.417156457901001,2.417130470275879,2.5987625122070312e-05,765.7619,8.50562,1538
91,2.415865659713745,2.415839433670044,2.6226043701171875e-05,774.4339,8.671949,1562
92,2.4145681858062744,2.414541721343994,2.6464462280273438e-05,783.9546,9.520735,1562
93,2.4132354259490967,2.4132087230682373,2.6702880859375e-05,793.7172,9.762576,1556
94,2.412045955657959,2.4120190143585205,2.6941299438476562e-05,802.9675,9.250365,1550
95,2.4106788635253906,2.410651683807373,2.7179718017578125e-05,811.686,8.718448,1556
96,2.4095897674560547,2.409562349319458,2.7418136596679688e-05,820.6492,8.963182,1586
97,2.4082353115081787,2.408207654953003,2.765655517578125e-05,829.4844,8.835193,1586
98,2.4071943759918213,2.4071664810180664,2.7894973754882812e-05,838.2014,8.717095,1568
99,2.4058821201324463,2.4058539867401123,2.8133392333984375e-05,846.939,8.737589,1574
100,2.4048399925231934,2.404811382293701,2.86102294921875e-05,856.1164,9.177402,1574
101,2.403594970703125,2.4035661220550537,2.8848648071289062e-05,864.8627,8.746283,1568
102,2.4025306701660156,2.4025015830993652,2.9087066650390625e-05,873.718,8.855312,1586
103,2.401390790939331,2.4013614654541016,2.9325485229492188e-05,882.5921,8.874018,1592
104,2.4002866744995117,2.400257110595703,2.956390380859375e-05,891.3856,8.793533,1568
105,2.3992326259613037,2.399202585220337,3.0040740966796875e-05,900.2986,8.913055,1574
106,2.3981125354766846,2.3980822563171387,3.0279159545898438e-05,909.1412,8.842572,1568
107,2.3971166610717773,2.3970861434936523,3.0517578125e-05,918.0658,8.924636,1580
108,2.3960201740264893,2.395989418029785,3.075599670410156e-05,927.0662,9.000325,1580
109,2.395035982131958,2.395004987716675,3.0994415283203125e-05,936.0132,8.947057,1562
110,2.393991231918335,2.3939597606658936,3.147125244140625e-05,945.0558,9.042559,1568
111,2.3929948806762695,2.392963171005249,3.170967102050781e-05,954.1466,9.09082,1556
112,2.392009973526001,2.3919780254364014,3.1948089599609375e-05,963.1982,9.051548,1574
113,2.391003370285034,2.3909711837768555,3.218650817871094e-05,972.3364,9.138217,1580
114,2.3900699615478516,2.3900375366210938,3.24249267578125e-05,981.3929,9.056491,1556
115,2.3890793323516846,2.3890464305877686,3.2901763916015625e-05,991.458,10.065158,1580
116,2.388148784637451,2.388115644454956,3.314018249511719e-05,1000.6552,9.197196,1598
117,2.387205123901367,2.387171745300293,3.337860107421875e-05,1009.7724,9.117169,1586
118,2.386270761489868,2.386237144470215,3.361701965332031e-05,1018.982,9.209566,1592
119,2.3853707313537598,2.3853366374969482,3.409385681152344e-05,1028.0949,9.112912,1574
120,2.384443998336792,2.3844096660614014,3.4332275390625e-05,1037.3727,9.277827,1574
121,2.3835604190826416,2.383525848388672,3.457069396972656e-05,1046.4723,9.099595,1562
122,2.3826639652252197,2.382629156112671,3.4809112548828125e-05,1055.7093,9.237014,1592
123,2.381776809692383,2.381741762161255,3.504753112792969e-05,1064.9099,9.200615,1580
124,2.3809173107147217,2.3808820247650146,3.528594970703125e-05,1074.1054,9.195488,1586
125,2.3800437450408936,2.3800079822540283,3.5762786865234375e-05,1083.8979,9.792466,1574
126,2.3791937828063965,2.379157781600952,3.600120544433594e-05,1094.3584,10.46049,1586
127,2.378350019454956,2.3783137798309326,3.62396240234375e-05,1104.7681,10.40969,1586
128,2.377504348754883,2.3774678707122803,3.647804260253906e-05,1114.616,9.84799,1598
129,2.376682996749878,2.3766462802886963,3.6716461181640625e-05,1123.8628,9.246715,1604
130,2.37585186958313,2.375814914703369,3.695487976074219e-05,1133.117,9.254292,1592
131,2.3750340938568115,2.3749969005584717,3.719329833984375e-05,1142.5428,9.425732,1616
132,2.3742308616638184,2.3741934299468994,3.743171691894531e-05,1151.8233,9.280568,1580
133,2.3734233379364014,2.3733856678009033,3.7670135498046875e-05,1161.1388,9.315437,1586
134,2.372631549835205,2.372593641281128,3.790855407714844e-05,1170.6333,9.494562,1592
135,2.3718438148498535,2.3718056678771973,3.814697265625e-05,1179.9006,9.267301,1586
136,2.3710615634918213,2.371023178100586,3.838539123535156e-05,1189.2293,9.328656,1586
137,2.3702876567840576,2.370249032974243,3.8623809814453125e-05,1201.0078,11.77845,1604
138,2.3695199489593506,2.369481086730957,3.886222839355469e-05,1211.0452,10.037493,1592
139,2.368755340576172,2.368716239929199,3.910064697265625e-05,1220.7229,9.677678,1616
140,2.367997884750366,2.3679585456848145,3.933906555175781e-05,1230.1938,9.470905,1592
141,2.367246627807617,2.3672070503234863,3.9577484130859375e-05,1239.7666,9.572733,1616
142,2.3665032386779785,2.3664634227752686,3.981590270996094e-05,1248.9392,9.172647,1544
143,2.3657643795013428,2.3657243251800537,4.00543212890625e-05,1258.5252,9.585986,1610
144,2.3650293350219727,2.3649890422821045,4.029273986816406e-05,1267.8198,9.294639,1568
145,2.364304542541504,2.3642640113830566,4.0531158447265625e-05,1277.3636,9.543744,1598
146,2.3635807037353516,2.363539934158325,4.076957702636719e-05,1287.017,9.653439,1586
147,2.3628640174865723,2.362823009490967,4.100799560546875e-05,1296.6563,9.639302,1622
148,2.3621528148651123,2.3621115684509277,4.124641418457031e-05,1306.101,9.444723,1592
149,2.361450672149658,2.3614091873168945,4.1484832763671875e-05,1315.6099,9.508819,1604
150,2.3607466220855713,2.3607048988342285,4.172325134277344e-05,1325.155,9.5451,1604
151,2.360049247741699,2.3600075244903564,4.172325134277344e-05,1334.8189,9.663898,1604
152,2.359361171722412,2.3593192100524902,4.1961669921875e-05,1344.3947,9.575836,1616
153,2.3586716651916504,2.3586294651031494,4.220008850097656e-05,1353.9473,9.552576,1598
154,2.35799241065979,2.35794997215271,4.2438507080078125e-05,1363.3837,9.436453,1580
155,2.3573176860809326,2.3572750091552734,4.267692565917969e-05,1372.9645,9.580771,1622
156,2.356642246246338,2.3565995693206787,4.267692565917969e-05,1382.4536,9.489149,1604
157,2.355977773666382,2.3559348583221436,4.291534423828125e-05,1392.1365,9.68285,1628
158,2.3553130626678467,2.3552699089050293,4.315376281738281e-05,1401.6401,9.503614,1604
159,2.354656219482422,2.3546128273010254,4.3392181396484375e-05,1411.3094,9.669335,1598
160,2.354001045227051,2.353957414627075,4.363059997558594e-05,1422.5092,11.199801,1616
161,2.353351593017578,2.3533079624176025,4.363059997558594e-05,1432.6236,10.114397,1616
162,2.352705717086792,2.3526618480682373,4.38690185546875e-05,1443.116,10.492313,1622
163,2.3520681858062744,2.3520240783691406,4.410743713378906e-05,1454.545,11.429051,1628
164,2.351431369781494,2.3513872623443604,4.410743713378906e-05,1465.449,10.904024,1610
165,2.350797176361084,2.350752830505371,4.4345855712890625e-05,1475.2306,9.781594,1610
166,2.3501689434051514,2.3501243591308594,4.458427429199219e-05,1484.9148,9.68422,1616
167,2.3495445251464844,2.3494999408721924,4.458427429199219e-05,1494.7577,9.842831,1628
168,2.3489205837249756,2.3488757610321045,4.482269287109375e-05,1504.517,9.759279,1628
169,2.348306655883789,2.348261594772339,4.506111145019531e-05,1514.2833,9.766327,1634
170,2.34769606590271,2.3476510047912598,4.506111145019531e-05,1524.0906,9.807311,1628
171,2.347085475921631,2.3470401763916016,4.5299530029296875e-05,1533.9007,9.810131,1634
172,2.3464818000793457,2.3464365005493164,4.5299530029296875e-05,1543.6041,9.703349,1634
173,2.3458781242370605,2.345832586288452,4.553794860839844e-05,1553.22,9.615918,1610
174,2.3452847003936768,2.3452389240264893,4.57763671875e-05,1562.8565,9.636542,1622
175,2.344693660736084,2.3446478843688965,4.57763671875e-05,1572.4591,9.60258,1616
176,2.344104051589966,2.344058036804199,4.601478576660156e-05,1582.267,9.807879,1640
177,2.343517303466797,2.3434712886810303,4.601478576660156e-05,1591.959,9.692018,1634
178,2.342933416366577,2.3428871631622314,4.6253204345703125e-05,1601.6368,9.677837,1640
179,2.3423588275909424,2.3423125743865967,4.6253204345703125e-05,1611.3829,9.746071,1628
180,2.341780662536621,2.3417341709136963,4.649162292480469e-05,1621.0056,9.622641,1616
181,2.3412082195281982,2.3411617279052734,4.649162292480469e-05,1631.0084,10.002849,1640
182,2.3406434059143066,2.3405966758728027,4.673004150390625e-05,1640.6441,9.635722,1622
183,2.3400800228118896,2.3400332927703857,4.673004150390625e-05,1650.3968,9.752671,1640
184,2.3395204544067383,2.3394734859466553,4.696846008300781e-05,1659.9343,9.537465,1604
185,2.3389620780944824,2.3389151096343994,4.696846008300781e-05,1669.6116,9.677355,1622
186,2.3384087085723877,2.3383615016937256,4.7206878662109375e-05,1679.3544,9.742777,1640
187,2.3378608226776123,2.33781361579895,4.7206878662109375e-05,1688.8967,9.542291,1610
188,2.3373124599456787,2.3372652530670166,4.7206878662109375e-05,1698.6685,9.771859,1646
189,2.336766242980957,2.336718797683716,4.744529724121094e-05,1708.4026,9.73407,1640
190,2.3362278938293457,2.3361804485321045,4.744529724121094e-05,1718.0179,9.615334,1628
191,2.3356940746307373,2.335646390914917,4.76837158203125e-05,1727.7823,9.76435,1646
192,2.335160255432129,2.3351125717163086,4.76837158203125e-05,1737.4743,9.69198,1634
193,2.3346292972564697,2.3345816135406494,4.76837158203125e-05,1747.3095,9.835236,1646
194,2.3341028690338135,2.334054946899414,4.792213439941406e-05,1757.0273,9.717757,1634
195,2.3335795402526855,2.333531618118286,4.792213439941406e-05,1766.7772,9.749926,1640
196,2.3330628871917725,2.333014726638794,4.8160552978515625e-05,1776.5047,9.727481,1646
197,2.332543134689331,2.3324949741363525,4.8160552978515625e-05,1786.3715,9.866819,1646
198,2.332031011581421,2.3319828510284424,4.8160552978515625e-05,1797.297,10.925526,1658
199,2.3315205574035645,2.331472158432007,4.839897155761719e-05,1808.3865,11.089446,1640
200,2.331010341644287,2.3309619426727295,4.839897155761719e-05,1819.3537,10.967235,1634
201,2.3305037021636963,2.3304553031921387,4.839897155761719e-05,1829.2179,9.864188,1664
202,2.3300013542175293,2.3299527168273926,4.863739013671875e-05,1839.0804,9.862529,1652
203,2.3295040130615234,2.3294553756713867,4.863739013671875e-05,1848.9455,9.865073,1658
204,2.3290083408355713,2.3289597034454346,4.863739013671875e-05,1859.5685,10.622958,1652
205,2.3285162448883057,2.328467607498169,4.863739013671875e-05,1869.468,9.899586,1652
206,2.328028678894043,2.327979803085327,4.887580871582031e-05,1879.339,9.870918,1622
207,2.3275418281555176,2.3274929523468018,4.887580871582031e-05,1890.4953,11.156324,1664
208,2.3270583152770996,2.327009439468384,4.887580871582031e-05,1900.4259,9.930622,1658
209,2.3265786170959473,2.3265297412872314,4.887580871582031e-05,1910.4495,10.023564,1670
210,2.3260998725891113,2.3260507583618164,4.9114227294921875e-05,1920.3968,9.947292,1664
211,2.3256261348724365,2.3255770206451416,4.9114227294921875e-05,1930.212,9.815249,1646
212,2.3251566886901855,2.3251075744628906,4.9114227294921875e-05,1940.1532,9.941161,1652
213,2.3246877193450928,2.324638605117798,4.9114227294921875e-05,1950.1128,9.959598,1646
214,2.32421875,2.324169397354126,4.935264587402344e-05,1959.9303,9.817547,1652
215,2.323756694793701,2.323707342147827,4.935264587402344e-05,1969.6292,9.698911,1640
216,2.3232927322387695,2.3232433795928955,4.935264587402344e-05,1979.4678,9.838591,1658
217,2.3228368759155273,2.3227875232696533,4.935264587402344e-05,1989.1905,9.72267,1658
218,2.3223824501037598,2.3223330974578857,4.935264587402344e-05,1999.1003,9.909846,1676
219,2.3219313621520996,2.3218817710876465,4.9591064453125e-05,2008.9322,9.831873,1664
220,2.321481227874756,2.3214316368103027,4.9591064453125e-05,2018.8724,9.940235,1682
221,2.3210337162017822,2.320984125137329,4.9591064453125e-05,2028.6757,9.803289,1664
222,2.3205909729003906,2.3205413818359375,4.9591064453125e-05,2038.6541,9.978375,1670
223,2.3201496601104736,2.3201000690460205,4.9591064453125e-05,2048.483,9.828944,1664
224,2.3197109699249268,2.3196611404418945,4.982948303222656e-05,2058.4098,9.926759,1676
225,2.319272756576538,2.319222927093506,4.982948303222656e-05,2068.2458,9.836041,1664
226,2.3188390731811523,2.31878924369812,4.982948303222656e-05,2077.9306,9.684723,1664
227,2.3184080123901367,2.3183581829071045,4.982948303222656e-05,2087.7617,9.831133,1670
228,2.3179757595062256,2.3179259300231934,4.982948303222656e-05,2097.597,9.835276,1670
229,2.3175508975982666,2.3175010681152344,4.982948303222656e-05,2107.4466,9.849659,1682
230,2.317126989364624,2.317077159881592,4.982948303222656e-05,2117.3907,9.944068,1682
231,2.3167080879211426,2.3166580200195312,5.0067901611328125e-05,2127.1682,9.777527,1676
232,2.316288709640503,2.3162386417388916,5.0067901611328125e-05,2137.0853,9.917101,1676
233,2.3158717155456543,2.315821647644043,5.0067901611328125e-05,2146.8611,9.775718,1664
234,2.3154611587524414,2.31541109085083,5.0067901611328125e-05,2156.6839,9.822814,1682
235,2.315047025680542,2.3149969577789307,5.0067901611328125e-05,2166.5841,9.900233,1670
236,2.3146374225616455,2.314587354660034,5.0067901611328125e-05,2176.3544,9.770279,1664
237,2.314232110977173,2.3141820430755615,5.0067901611328125e-05,2186.3687,10.014311,1676
238,2.3138256072998047,2.3137755393981934,5.0067901611328125e-05,2196.3753,10.00661,1694
239,2.313424587249756,2.3133745193481445,5.0067901611328125e-05,2206.5493,10.173973,1676
240,2.313028335571289,2.3129782676696777,5.0067901611328125e-05,2219.6838,13.134537,1700
241,2.3126280307769775,2.312577962875366,5.0067901611328125e-05,2232.2104,12.526614,1670
242,2.3122363090515137,2.3121860027313232,5.030632019042969e-05,2243.6786,11.468139,1676
243,2.3118417263031006,2.31179141998291,5.030632019042969e-05,2254.1474,10.4688,1700
244,2.3114540576934814,2.311403751373291,5.030632019042969e-05,2264.3683,10.220946,1670
245,2.3110649585723877,2.3110146522521973,5.030632019042969e-05,2274.9344,10.566073,1688
246,2.310680389404297,2.3106300830841064,5.030632019042969e-05,2285.2944,10.36005,1688
247,2.310297727584839,2.3102474212646484,5.030632019042969e-05,2295.6007,10.306219,1682
248,2.30991792678833,2.3098676204681396,5.030632019042969e-05,2306.0809,10.480252,1688
