epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.577529e+01,1050.0,False,,5.391572e-01,-0.192034,0.191652,0.176525,0.255841,0.120908,-0.11132,-0.0931494,0.0984766,0.274012
1,3.081462e+00,2.577565e+01,1050.0,False,,5.411777e-01,-0.194034,0.193651,0.178524,0.253841,0.122907,-0.10932,-0.0911935,0.0994442,0.275962
2,3.910676e+00,2.577566e+01,1050.0,False,,5.411316e-01,-0.195062,0.194287,0.179074,0.252826,0.123797,-0.108221,-0.0907722,0.0996667,0.275368
5,2.928142e+00,2.577511e+01,1050.0,False,,5.385306e-01,-0.196606,0.193874,0.178264,0.251366,0.124639,-0.106315,-0.0926058,0.099228,0.271204
10,3.271280e+00,2.577543e+01,1050.0,False,,5.399951e-01,-0.203574,0.198827,0.182748,0.244487,0.131005,-0.0990705,-0.0902711,0.100846,0.268613
20,2.737401e+00,2.577522e+01,1050.0,False,,5.423124e-01,-0.218046,0.208344,0.191055,0.230266,0.144274,-0.0840856,-0.0908354,0.102882,0.258662
50,2.509529e+00,2.577465e+01,1050.0,False,,5.742477e-01,-0.26965,0.247107,0.226401,0.179211,0.193147,-0.0308679,-0.0908457,0.111115,0.231853
100,2.405882e+00,2.577344e+01,1050.0,False,,6.912591e-01,-0.362948,0.319184,0.296585,0.0883819,0.284388,0.0646767,-0.093961,0.123501,0.198279
200,2.331521e+00,2.577091e+01,1050.1,False,,1.032512e+00,-0.552264,0.454638,0.44105,-0.0928305,0.472164,0.258881,-0.106134,0.149968,0.165936
500,2.265813e+00,2.576294e+01,1050.3,False,,2.236121e+00,-1.11621,0.834995,0.876289,-0.653273,1.02904,0.845762,-0.119827,0.23925,-0.128928
1000,2.228329e+00,2.574935e+01,1050.8,False,,4.359940e+00,-2.06565,1.47528,1.61542,-1.62174,1.96425,1.81921,-0.0895161,0.380424,-0.0745404
2000,2.196056e+00,2.572197e+01,1051.6,False,,8.802763e+00,-4.0068,2.87145,3.15958,-3.58865,3.86434,3.77007,0.030165,0.646136,0.873364
3000,2.180312e+00,2.569440e+01,1052.4,False,,1.337464e+01,-5.97388,4.4004,4.7308,-5.56511,5.78355,5.72951,0.19012,0.896473,1.83382
5000,2.161660e+00,2.563869e+01,1054.1,False,,2.262015e+01,-9.93417,7.67153,7.81664,-9.52243,9.63123,9.66337,0.569783,1.36632,3.74458
