epoch,total_loss,species_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,8.322382926940918,8.322382926940918,8.420758312865928e-09,0.1162,0.116234,20
1,8.24985122680664,8.24985122680664,5.354966248205528e-09,0.2326,0.116353,26
2,8.19298267364502,8.19298267364502,6.678362751699751e-09,0.346,0.113366,26
3,8.149203300476074,8.149203300476074,8.325491407390473e-09,0.5172,0.171199,44
4,8.118250846862793,8.118250846862793,9.788240440400386e-09,0.6478,0.130628,32
5,8.095949172973633,8.095949172973633,1.120857628933436e-08,0.7414,0.093575,20
6,8.079977989196777,8.079977989196777,1.2699074680710964e-08,0.8324,0.09101,20
7,8.068634986877441,8.068634986877441,1.5101321082511276e-08,0.9261,0.093689,20
8,8.060551643371582,8.060551643371582,1.7896176984777412e-08,1.0189,0.092834,20
9,8.054740905761719,8.054740905761719,2.0566179870229462e-08,1.1099,0.09102,20
10,8.050507545471191,8.050507545471191,2.3229034695759765e-08,1.2025,0.092627,20
11,8.047371864318848,8.047371864318848,2.5865542596648083e-08,1.2745,0.071966,14
12,8.04499626159668,8.04499626159668,2.852572222877825e-08,1.3479,0.073365,14
13,8.043149948120117,8.043149948120117,3.1210902307066135e-08,1.3993,0.051436,8
14,8.04167366027832,8.04167366027832,3.396788272880258e-08,1.4512,0.051899,8
15,8.040460586547852,8.040460586547852,3.682121629822177e-08,1.5035,0.052286,8
16,8.0394287109375,8.0394287109375,3.9810998941902653e-08,1.5557,0.052184,8
17,8.03852367401123,8.03852367401123,4.294722444342369e-08,1.6071,0.051461,8
18,8.037704467773438,8.037704467773438,4.625905347666048e-08,1.6579,0.050811,8
19,8.036942481994629,8.036942481994629,4.9762210352355396e-08,1.7137,0.055798,8
20,8.036215782165527,8.036215782165527,5.348451637132712e-08,1.7658,0.052044,8
21,8.035507202148438,8.035507202148438,5.7436228217966345e-08,1.8175,0.051713,8
22,8.034804344177246,8.034804344177246,6.163786281376815e-08,1.868,0.050502,8
23,8.034098625183105,8.034098625183105,6.609862879258799e-08,1.9202,0.052227,8
24,8.033384323120117,8.033384323120117,7.083118447326342e-08,1.9704,0.050178,8
25,8.032657623291016,8.032657623291016,7.585060757264728e-08,2.0234,0.05301,8
26,8.031912803649902,8.031912803649902,8.11689062629739e-08,2.088,0.064557,8
27,8.03115177154541,8.03115177154541,8.679850793669175e-08,2.1511,0.06317,8
28,8.030372619628906,8.030372619628906,9.274850043539118e-08,2.2036,0.052465,8
29,8.02957820892334,8.02957820892334,9.903806130751036e-08,2.2567,0.053071,8
30,8.028772354125977,8.028772354125977,1.0566539998535518e-07,2.3107,0.054062,8
31,8.027957916259766,8.027957916259766,1.1265009902672318e-07,2.3615,0.050801,8
32,8.027139663696289,8.027139663696289,1.1999439664123202e-07,2.4139,0.052368,8
33,8.026325225830078,8.026325225830078,1.2771305080150341e-07,2.4666,0.052651,8
34,8.02552318572998,8.02552318572998,1.3580849156369368e-07,2.5179,0.051359,8
35,8.024741172790527,8.024741172790527,1.4428387373754958e-07,2.5695,0.051626,8
36,8.023985862731934,8.023985862731934,1.531412294752954e-07,2.6211,0.051575,8
37,8.023269653320312,8.023269653320312,1.623793082217162e-07,2.674,0.052861,8
38,8.022600173950195,8.022600173950195,1.7199378987697855e-07,2.727,0.052976,8
39,8.02198314666748,8.02198314666748,1.819699377847428e-07,2.7786,0.051606,8
40,8.021424293518066,8.021424293518066,1.9229713643653668e-07,2.8311,0.052496,8
41,8.020925521850586,8.020925521850586,2.0294532987463754e-07,2.8826,0.051565,8
42,8.020482063293457,8.020482063293457,2.1388842696978827e-07,2.9357,0.053028,8
43,8.020084381103516,8.020084381103516,2.2508012875732675e-07,2.9863,0.050674,8
44,8.019715309143066,8.019715309143066,2.3648114222396543e-07,3.0596,0.073283,14
45,8.019355773925781,8.019355773925781,2.4806411147437757e-07,3.1302,0.070564,14
46,8.0189847946167,8.0189847946167,2.598042101453757e-07,3.2011,0.070921,14
47,8.018575668334961,8.018575668334961,2.716604683428159e-07,3.2745,0.073366,14
48,8.018115043640137,8.018115043640137,2.836341650436225e-07,3.3462,0.071766,14
49,8.01758861541748,8.01758861541748,2.9573354254353035e-07,3.4218,0.075616,14
50,8.016993522644043,8.016993522644043,3.079744601564016e-07,3.4924,0.070535,14
51,8.01633358001709,8.01633358001709,3.2042260045272997e-07,3.5625,0.070075,14
52,8.015615463256836,8.015615463256836,3.3309754599031294e-07,3.6335,0.071026,14
53,8.014848709106445,8.014848709106445,3.4604110510372266e-07,3.7258,0.09231,14
54,8.014043807983398,8.014043807983398,3.5931930142396595e-07,3.7971,0.071276,14
55,8.013208389282227,8.013208389282227,3.7294634580575803e-07,3.9018,0.104716,20
56,8.012351989746094,8.012351989746094,3.870198383992829e-07,3.9955,0.093737,20
57,8.01147747039795,8.01147747039795,4.015622891984094e-07,4.0955,0.099983,20
58,8.010586738586426,8.010586738586426,4.1660291572043207e-07,4.1896,0.094105,20
59,8.009679794311523,8.009679794311523,4.321933602113859e-07,4.2899,0.100282,20
60,8.008753776550293,8.008753776550293,4.486400086989306e-07,4.3815,0.091587,20
61,8.007807731628418,8.007807731628418,4.689702564064646e-07,4.4705,0.089051,20
62,8.006834983825684,8.006834030151367,4.902981345367152e-07,4.5616,0.091089,20
63,8.005833625793457,8.00583267211914,5.125721145304851e-07,4.6523,0.090723,20
64,8.004799842834473,8.004798889160156,5.358227781471214e-07,4.7444,0.092074,20
65,8.003731727600098,8.003730773925781,5.600692816187802e-07,4.8357,0.091308,20
66,8.0026273727417,8.002626419067383,5.853088396179373e-07,4.9471,0.111414,26
67,8.001485824584961,8.001484870910645,6.115981818766159e-07,5.0577,0.110579,26
68,8.000304222106934,8.000303268432617,6.389157647390675e-07,5.1693,0.111569,26
69,7.999085903167725,7.999085426330566,6.672816539321502e-07,5.2824,0.113086,26
70,7.997829437255859,7.997828960418701,6.967017611714255e-07,5.4015,0.119128,26
71,7.996535778045654,7.996534824371338,7.271843855960469e-07,5.518,0.116554,26
