epoch,total_loss,mse_loss,elapsed_seconds
0,1276.571533203125,1276.571533203125,0.3745
1,1099.3857421875,1099.3857421875,0.5888
2,934.4251708984375,934.4251708984375,0.8118
3,780.8278198242188,780.8278198242188,1.0285
4,639.0718383789062,639.0718383789062,1.2357
5,515.0360107421875,515.0360107421875,1.4384
6,412.21429443359375,412.21429443359375,1.6406
7,322.5245056152344,322.5245056152344,1.8533
8,232.8059539794922,232.8059539794922,2.0488
9,159.1516571044922,159.1516571044922,2.2475
10,115.79838562011719,115.79838562011719,2.4651
11,91.40412902832031,91.40412902832031,2.6677
12,76.79202270507812,76.79202270507812,2.8745
13,69.79120635986328,69.79120635986328,3.0734
14,69.91221618652344,69.91221618652344,3.2849
15,74.58902740478516,74.58902740478516,3.4812
16,81.39634704589844,81.39634704589844,3.6764
17,88.05201721191406,88.05201721191406,3.8728
18,93.30567932128906,93.30567932128906,4.0783
19,96.7295913696289,96.7295913696289,4.3027
20,98.14665222167969,98.14665222167969,4.5089
21,97.50662994384766,97.50662994384766,4.8066
22,94.81766510009766,94.81766510009766,5.0172
23,90.11009216308594,90.11009216308594,5.2253
24,83.45545959472656,83.45545959472656,5.4287
25,75.07171630859375,75.07171630859375,5.6326
26,65.53875732421875,65.53875732421875,5.8298
27,56.013893127441406,56.013893127441406,6.0269
28,47.886756896972656,47.886756896972656,6.2534
29,41.83000946044922,41.83000946044922,6.447
30,37.581939697265625,37.581939697265625,6.6521
31,34.49699401855469,34.49699401855469,6.8488
32,32.02847671508789,32.02847671508789,7.0737
33,29.8582706451416,29.8582706451416,7.3677
34,27.858409881591797,27.858409881591797,7.5618
35,25.980783462524414,25.980783462524414,7.7512
36,24.24216651916504,24.24216651916504,7.9489
37,22.712438583374023,22.712438583374023,8.1504
38,21.483606338500977,21.483606338500977,8.3403
39,20.562061309814453,20.562061309814453,8.5274
40,19.84552001953125,19.84552001953125,8.7143
41,19.18979835510254,19.18979835510254,8.9037
42,18.485565185546875,18.485565185546875,9.0942
43,17.6870059967041,17.6870059967041,9.2992
44,16.81654930114746,16.81654930114746,9.486
45,15.938870429992676,15.938870429992676,9.6761
46,15.124542236328125,15.124542236328125,9.871
47,14.426870346069336,14.426870346069336,10.0491
48,13.868830680847168,13.868830680847168,10.2364
49,13.439208984375,13.439208984375,10.4146
