split,seed,procedure,species_TG,species_ROH,species_DG,species_MG,species_GL,species_RCO2R,total
train,0,observed_interval,0.002535387175157666,0.005547567270696163,0.03298427537083626,0.041781652718782425,0.10618755966424942,0.006293402519077063,0.03255497291684151
test,0,observed_interval,0.0032282122410833836,0.011420593596994877,0.049613457173109055,0.19165751338005066,0.2455638349056244,0.00861686933785677,0.08501674979925156
train,1,observed_interval,0.0029659010469913483,0.007461035158485174,0.02150055393576622,0.03637810796499252,0.06112701818346977,0.010044584050774574,0.023246200755238533
test,1,observed_interval,0.009108216501772404,0.014913235791027546,0.09425513446331024,0.10884592682123184,0.1595730483531952,0.017261546105146408,0.06732618063688278
train,2,observed_interval,0.0010869881371036172,0.004674955271184444,0.018939871340990067,0.024636514484882355,0.05633925274014473,0.0031484663486480713,0.018137674778699875
test,2,observed_interval,0.0010815784335136414,0.006652548909187317,0.03188086301088333,0.12711088359355927,0.24995970726013184,0.006621498614549637,0.07055117934942245
train,0,original,0.018583931028842926,0.027672460302710533,0.06159932538866997,0.12007276713848114,0.11740773916244507,0.0267629474401474,0.062016528099775314
test,0,original,0.017536448314785957,0.04174717143177986,0.08522148430347443,0.15946660935878754,0.15510952472686768,0.029321949928998947,0.08140052855014801
train,1,original,0.016553979367017746,0.0244453065097332,0.01601913943886757,0.026182934641838074,0.035444293171167374,0.016152510419487953,0.02246636152267456
test,1,original,0.020699094980955124,0.04020538553595543,0.021910199895501137,0.13868682086467743,0.11718809604644775,0.040765345096588135,0.06324248760938644
train,2,original,0.009501432068645954,0.03612804412841797,0.044419825077056885,0.05710303783416748,0.030221814289689064,0.02134566195309162,0.03311996906995773
test,2,original,0.011617949232459068,0.04296430945396423,0.060780394822359085,0.10467513650655746,0.0615786537528038,0.05238398164510727,0.055666740983724594
