epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,876.3639526367188,876.3639526367188,944.8363037109375,944.8363037109375,0.3586
1,750.4683837890625,750.4683837890625,,,0.4119
2,633.8848876953125,633.8848876953125,,,0.4677
3,524.8307495117188,524.8307495117188,,,0.619
4,423.2440490722656,423.2440490722656,,,0.6996
5,329.58941650390625,329.58941650390625,,,0.7665
6,245.0918426513672,245.0918426513672,,,0.8394
7,170.68032836914062,170.68032836914062,,,0.8997
8,104.4713363647461,104.4713363647461,,,0.9622
9,58.34617233276367,58.34617233276367,,,1.025
10,35.80420684814453,35.80420684814453,,,1.3258
11,29.185596466064453,29.185596466064453,,,1.4078
12,37.62577819824219,37.62577819824219,,,1.4956
13,52.56097412109375,52.56097412109375,,,1.5695
14,67.1177749633789,67.1177749633789,,,1.6377
15,78.0730972290039,78.0730972290039,,,1.7102
16,84.687744140625,84.687744140625,,,1.7801
17,86.9421157836914,86.9421157836914,,,1.8426
18,85.31197357177734,85.31197357177734,,,1.8968
19,80.73828125,80.73828125,,,1.945
20,74.99201965332031,74.99201965332031,,,1.9939
21,69.55806732177734,69.55806732177734,,,2.0445
22,64.5392837524414,64.5392837524414,,,2.0938
23,59.8432502746582,59.8432502746582,,,2.1503
24,55.21038055419922,55.21038055419922,,,2.1988
25,50.36713409423828,50.36713409423828,,,2.2691
26,45.30661392211914,45.30661392211914,,,2.3314
27,40.263587951660156,40.263587951660156,,,2.393
28,35.53483963012695,35.53483963012695,,,2.4515
29,31.30837631225586,31.30837631225586,,,2.508
30,27.778162002563477,27.778162002563477,,,2.5651
31,25.04987144470215,25.04987144470215,,,2.6295
32,23.170745849609375,23.170745849609375,,,2.684
33,22.069446563720703,22.069446563720703,,,2.7386
34,21.551223754882812,21.551223754882812,,,2.7915
35,21.40981674194336,21.40981674194336,,,2.8432
36,21.418088912963867,21.418088912963867,,,2.9006
37,21.380924224853516,21.380924224853516,,,2.9549
38,21.178295135498047,21.178295135498047,,,3.0683
39,20.75870704650879,20.75870704650879,,,3.1397
40,20.130931854248047,20.130931854248047,,,3.2018
41,19.353628158569336,19.353628158569336,,,3.2621
42,18.515483856201172,18.515483856201172,,,3.3248
43,17.707368850708008,17.707368850708008,,,3.4046
44,16.994129180908203,16.994129180908203,,,3.462
45,16.397817611694336,16.397817611694336,,,3.5145
46,15.90021800994873,15.90021800994873,,,3.57
47,15.459684371948242,15.459684371948242,,,3.6425
48,15.03178596496582,15.03178596496582,,,3.6965
49,14.584826469421387,14.584826469421387,,,3.7495
50,14.106422424316406,14.106422424316406,,,3.8049
51,13.602012634277344,13.602012634277344,,,3.8596
52,13.088589668273926,13.088589668273926,,,3.9233
53,12.586732864379883,12.586732864379883,,,3.9758
54,12.113555908203125,12.113555908203125,,,4.0284
55,11.678479194641113,11.678479194641113,,,4.0796
56,11.282934188842773,11.282934188842773,,,4.1438
57,10.923232078552246,10.923232078552246,,,4.1962
58,10.594549179077148,10.594549179077148,,,4.2496
59,10.293778419494629,10.293778419494629,,,4.3035
60,10.020090103149414,10.020090103149414,,,4.357
61,9.773563385009766,9.773563385009766,,,4.4176
62,9.553169250488281,9.553169250488281,,,4.4654
63,9.355627059936523,9.355627059936523,,,4.5164
64,9.175687789916992,9.175687789916992,,,4.5668
65,9.007279396057129,9.007279396057129,,,4.6181
66,8.844849586486816,8.844849586486816,,,4.6771
67,8.684178352355957,8.684178352355957,,,4.7292
68,8.522611618041992,8.522611618041992,,,4.7806
69,8.358878135681152,8.358878135681152,,,4.8338
70,8.192702293395996,8.192702293395996,,,4.8973
71,8.024466514587402,8.024466514587402,,,4.9502
72,7.854933738708496,7.854933738708496,,,5.0033
73,7.685173034667969,7.685173034667969,,,5.0561
74,7.516537666320801,7.516537666320801,,,5.109
75,7.350671291351318,7.350671291351318,,,5.1733
76,7.189461708068848,7.189461708068848,,,5.2284
77,7.034916877746582,7.034916877746582,,,5.2852
78,6.888916969299316,6.888916969299316,,,5.3432
79,6.752962589263916,6.752962589263916,,,5.4117
80,6.627913475036621,6.627913475036621,,,5.4773
81,6.513829708099365,6.513829708099365,,,5.5352
82,6.409950256347656,6.409950256347656,,,5.5879
83,6.314820766448975,6.314820766448975,,,5.6552
84,6.226571083068848,6.226571083068848,,,5.7081
85,6.143226623535156,6.143226623535156,,,5.7591
86,6.063033580780029,6.063033580780029,,,5.8107
87,5.984686851501465,5.984686851501465,,,5.8634
88,5.90744686126709,5.90744686126709,,,5.925
89,5.831131935119629,5.831131935119629,,,5.9755
90,5.755972862243652,5.755972862243652,,,6.0265
91,5.682463645935059,5.682463645935059,,,6.075
92,5.61116886138916,5.61116886138916,,,6.1287
93,5.5425848960876465,5.5425848960876465,,,6.2008
94,5.477065086364746,5.477065086364746,,,6.2546
95,5.414797782897949,5.414797782897949,,,6.3066
96,5.355835914611816,5.355835914611816,,,6.3557
97,5.300131320953369,5.300131320953369,,,6.4189
98,5.247574806213379,5.247574806213379,,,6.4731
99,5.198029518127441,5.198029518127441,,,6.5283
100,5.151314735412598,5.151314735412598,4.145159721374512,4.145159721374512,6.5943
101,5.107220649719238,5.107220649719238,,,6.6722
102,5.065492153167725,5.065492153167725,,,6.7271
103,5.025847434997559,5.025847434997559,,,6.777
104,4.9879913330078125,4.9879913330078125,,,6.826
105,4.951653003692627,4.951653003692627,,,6.8874
106,4.9166107177734375,4.9166107177734375,,,6.9393
107,4.882716178894043,4.882716178894043,,,6.991
108,4.84990930557251,4.84990930557251,,,7.0415
109,4.8181915283203125,4.8181915283203125,,,7.0916
110,4.7876129150390625,4.7876129150390625,,,7.1505
111,4.758235454559326,4.758235454559326,,,7.2012
112,4.730095863342285,4.730095863342285,,,7.2511
113,4.703192710876465,4.703192710876465,,,7.303
114,4.677485466003418,4.677485466003418,,,7.354
115,4.652883052825928,4.652883052825928,,,7.4141
116,4.629281520843506,4.629281520843506,,,7.4633
117,4.606558799743652,4.606558799743652,,,7.5125
118,4.5846123695373535,4.5846123695373535,,,7.5619
119,4.563351631164551,4.563351631164551,,,7.6105
120,4.5427045822143555,4.5427045822143555,,,7.6765
121,4.522618770599365,4.522618770599365,,,7.7253
122,4.503048896789551,4.503048896789551,,,7.7736
123,4.48396110534668,4.48396110534668,,,7.8245
124,4.465318202972412,4.465318202972412,,,7.8732
125,4.447096347808838,4.447096347808838,,,7.9296
126,4.4292707443237305,4.4292707443237305,,,7.9785
127,4.411825656890869,4.411825656890869,,,8.0265
128,4.394748687744141,4.394748687744141,,,8.0735
129,4.3780317306518555,4.3780317306518555,,,8.1227
130,4.361664772033691,4.361664772033691,,,8.1845
131,4.345634460449219,4.345634460449219,,,8.2488
132,4.32991886138916,4.32991886138916,,,8.3028
133,4.314492702484131,4.314492702484131,,,8.3567
134,4.299330711364746,4.299330711364746,,,8.4171
135,4.28439998626709,4.28439998626709,,,8.4651
136,4.269675254821777,4.269675254821777,,,8.5134
137,4.255136966705322,4.255136966705322,,,8.5641
138,4.240771293640137,4.240771293640137,,,8.6122
139,4.226565361022949,4.226565361022949,,,8.6678
140,4.212518215179443,4.212518215179443,,,8.7182
141,4.198627948760986,4.198627948760986,,,8.7661
142,4.184886932373047,4.184886932373047,,,8.8135
143,4.171299457550049,4.171299457550049,,,8.862
144,4.1578569412231445,4.1578569412231445,,,8.917
145,4.144556522369385,4.144556522369385,,,8.9651
146,4.131397247314453,4.131397247314453,,,9.1107
147,4.118371486663818,4.118371486663818,,,9.1641
148,4.105477809906006,4.105477809906006,,,9.2113
149,4.092710494995117,4.092710494995117,,,9.2594
150,4.080065727233887,4.080065727233887,,,9.3073
151,4.067539215087891,4.067539215087891,,,9.357
152,4.055123805999756,4.055123805999756,,,9.4145
153,4.042819976806641,4.042819976806641,,,9.4632
154,4.0306220054626465,4.0306220054626465,,,9.5111
155,4.018525123596191,4.018525123596191,,,9.56
156,4.006528854370117,4.006528854370117,,,9.6095
157,3.9946353435516357,3.9946353435516357,,,9.6637
158,3.982837200164795,3.982837200164795,,,9.7119
159,3.971139430999756,3.971139430999756,,,9.7599
160,3.959537982940674,3.959537982940674,,,9.8076
161,3.9480319023132324,3.9480319023132324,,,9.8552
162,3.936621904373169,3.936621904373169,,,9.9088
163,3.9253029823303223,3.9253029823303223,,,9.9562
164,3.9140732288360596,3.9140732288360596,,,10.0048
165,3.9029316902160645,3.9029316902160645,,,10.0525
166,3.891878128051758,3.891878128051758,,,10.1003
167,3.8809077739715576,3.8809077739715576,,,10.1551
168,3.8700225353240967,3.8700225353240967,,,10.2035
169,3.8592185974121094,3.8592185974121094,,,10.2503
170,3.8484954833984375,3.8484954833984375,,,10.2978
171,3.8378524780273438,3.8378524780273438,,,10.345
