epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,batch_loss_running_mean,optimizer_step,elapsed_seconds
0,1276.571044921875,1276.571044921875,1329.2071533203125,1329.2071533203125,1023.1270446777344,4,0.3189
1,639.0852661132812,639.0852661132812,,,472.37662506103516,8,0.5028
2,231.7613525390625,231.7613525390625,,,149.59597778320312,12,0.6838
3,77.46659088134766,77.46659088134766,,,71.49659538269043,16,0.8735
4,81.09131622314453,81.09131622314453,,,88.70112991333008,20,1.0492
5,97.32905578613281,97.32905578613281,,,95.00182151794434,24,1.2161
6,83.09720611572266,83.09720611572266,,,69.74778366088867,28,1.4072
7,47.906768798828125,47.906768798828125,,,40.272640228271484,32,1.5999
8,32.27138900756836,32.27138900756836,,,29.27088975906372,36,1.7854
9,24.431903839111328,24.431903839111328,,,22.409740924835205,40,1.981
10,19.908649444580078,19.908649444580078,,,18.499600172042847,44,2.1768
11,16.703062057495117,16.703062057495117,,,15.644138097763062,48,2.3915
12,13.993609428405762,13.993609428405762,,,13.395393133163452,52,2.594
13,12.664897918701172,12.664897918701172,,,12.063792705535889,56,2.8592
14,10.72095775604248,10.72095775604248,,,9.713331937789917,60,3.0821
15,7.9811906814575195,7.9811906814575195,,,7.378321886062622,64,3.288
16,6.721051216125488,6.721051216125488,,,6.68493115901947,68,3.4943
17,6.733808994293213,6.733808994293213,,,6.654659032821655,72,3.7207
18,6.279533386230469,6.279533386230469,,,6.027946352958679,76,3.9272
19,5.528805732727051,5.528805732727051,,,5.5084068775177,80,4.1383
20,5.311276912689209,5.311276912689209,,,5.316706895828247,84,4.3481
21,5.217975616455078,5.217975616455078,,,5.18615984916687,88,4.5481
22,4.996915340423584,4.996915340423584,,,5.0022231340408325,92,4.744
23,4.921473503112793,4.921473503112793,,,4.924199759960175,96,4.9343
24,4.854190826416016,4.854190826416016,,,4.809325993061066,100,5.1317
25,4.7494215965271,4.7494215965271,,,4.713308334350586,104,5.3265
26,4.696162700653076,4.696162700653076,,,4.75936883687973,108,5.5162
27,4.696186065673828,4.696186065673828,,,4.691922426223755,112,5.7311
28,4.611983299255371,4.611983299255371,,,4.628233909606934,116,5.922
29,4.559911251068115,4.559911251068115,,,4.57698255777359,120,6.1181
30,4.527298927307129,4.527298927307129,,,4.574423432350159,124,6.3065
31,4.468842029571533,4.468842029571533,,,4.496678113937378,128,6.4947
32,4.427292823791504,4.427292823791504,,,4.462298393249512,132,6.6856
33,4.40015172958374,4.40015172958374,,,4.411614775657654,136,6.8803
34,4.3503570556640625,4.3503570556640625,,,4.347569823265076,140,7.0792
35,4.305381774902344,4.305381774902344,,,4.3076313734054565,144,7.2647
36,4.271537780761719,4.271537780761719,,,4.275047600269318,148,7.4512
37,4.226027011871338,4.226027011871338,,,4.259076118469238,152,7.6358
38,4.1931047439575195,4.1931047439575195,,,4.217563271522522,156,7.8229
39,4.159535884857178,4.159535884857178,,,4.168167352676392,160,8.0221
40,4.125566005706787,4.125566005706787,,,4.142188489437103,164,8.218
41,4.084014892578125,4.084014892578125,,,4.128514409065247,168,8.4274
42,4.044092655181885,4.044092655181885,,,4.037547469139099,172,8.6238
43,4.007241249084473,4.007241249084473,,,4.013280868530273,176,8.8147
44,3.9745025634765625,3.9745025634765625,,,3.988666832447052,180,9.0039
45,3.9458751678466797,3.9458751678466797,,,3.9554503560066223,184,9.1961
46,3.906602382659912,3.906602382659912,,,3.9447540640830994,188,9.3844
47,3.8721764087677,3.8721764087677,,,3.90482097864151,192,9.5736
48,3.8441100120544434,3.8441100120544434,,,3.8562556505203247,196,9.7602
49,3.810093641281128,3.810093641281128,,,3.7965092062950134,200,9.9456
50,3.774407148361206,3.774407148361206,,,3.7839176654815674,204,10.1335
51,3.749221086502075,3.749221086502075,,,3.7700365781784058,208,10.3262
52,3.718168258666992,3.718168258666992,,,3.75530207157135,212,10.5294
53,3.6931262016296387,3.6931262016296387,,,3.6904367208480835,216,10.7154
54,3.6547980308532715,3.6547980308532715,,,3.6544114351272583,220,10.9195
55,3.627864122390747,3.627864122390747,,,3.6536056995391846,224,11.1185
56,3.596958875656128,3.596958875656128,,,3.612585425376892,228,11.3059
57,3.571335554122925,3.571335554122925,,,3.572163313627243,232,11.585
58,3.5428147315979004,3.5428147315979004,,,3.5415748357772827,236,11.7731
59,3.521299362182617,3.521299362182617,,,3.5265084505081177,240,11.9662
