epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,6075.73876953125,6075.73876953125,6117.26123046875,6117.26123046875,0.3127
1,5643.08740234375,5643.08740234375,5688.0029296875,5688.0029296875,0.391
2,5238.1552734375,5238.1552734375,5287.1865234375,5287.1865234375,0.4709
3,4858.3564453125,4858.3564453125,4909.53076171875,4909.53076171875,0.562
4,4500.52197265625,4500.52197265625,4552.1416015625,4552.1416015625,0.6431
5,4163.41259765625,4163.41259765625,4214.35986328125,4214.35986328125,0.7253
6,3846.373779296875,3846.373779296875,3895.985107421875,3895.985107421875,0.818
7,3549.275390625,3549.275390625,3597.155517578125,3597.155517578125,0.903
8,3272.901123046875,3272.901123046875,3318.29296875,3318.29296875,0.9983
9,3018.19482421875,3018.19482421875,3060.037841796875,3060.037841796875,1.1008
10,2785.100341796875,2785.100341796875,2822.86669921875,2822.86669921875,1.1992
11,2572.931884765625,2572.931884765625,2606.5947265625,2606.5947265625,1.3011
12,2380.398681640625,2380.398681640625,2410.176513671875,2410.176513671875,1.4057
13,2205.56787109375,2205.56787109375,2231.803955078125,2231.803955078125,1.5092
14,2046.091064453125,2046.091064453125,2069.1845703125,2069.1845703125,1.6111
15,1899.5367431640625,1899.5367431640625,1919.8883056640625,1919.8883056640625,1.7094
16,1763.6773681640625,1763.6773681640625,1781.6546630859375,1781.6546630859375,1.8058
17,1636.65087890625,1636.65087890625,1652.572265625,1652.572265625,1.8987
18,1517.0057373046875,1517.0057373046875,1531.137939453125,1531.137939453125,1.9929
19,1403.663330078125,1403.663330078125,1416.226806640625,1416.226806640625,2.0917
20,1295.848876953125,1295.848876953125,1307.02783203125,1307.02783203125,2.1796
21,1193.026123046875,1193.026123046875,1202.973388671875,1202.973388671875,2.2685
22,1094.8336181640625,1094.8336181640625,1103.6781005859375,1103.6781005859375,2.3587
23,1001.0421142578125,1001.0421142578125,1008.8935546875,1008.8935546875,2.4485
24,911.5205078125,911.5205078125,918.4724731445312,918.4724731445312,2.541
25,826.2120361328125,826.2120361328125,832.3460693359375,832.3460693359375,2.6341
26,745.1163330078125,745.1163330078125,750.5064086914062,750.5064086914062,2.7278
27,668.2761840820312,668.2761840820312,672.9935302734375,672.9935302734375,2.8223
28,595.7659912109375,595.7659912109375,599.8865356445312,599.8865356445312,2.9152
29,527.6808471679688,527.6808471679688,531.2919921875,531.2919921875,3.0037
30,464.12646484375,464.12646484375,467.33746337890625,467.33746337890625,3.0943
31,405.20245361328125,405.20245361328125,408.15667724609375,408.15667724609375,3.1843
32,350.98193359375,350.98193359375,353.8730163574219,353.8730163574219,3.276
33,301.4955749511719,301.4955749511719,304.57275390625,304.57275390625,3.37
34,256.77545166015625,256.77545166015625,260.27069091796875,260.27069091796875,3.4685
35,216.982177734375,216.982177734375,220.8736114501953,220.8736114501953,3.5615
36,182.4036102294922,182.4036102294922,186.16854858398438,186.16854858398438,3.656
37,153.3689727783203,153.3689727783203,155.88494873046875,155.88494873046875,3.7522
38,131.0105438232422,131.0105438232422,130.1990203857422,130.1990203857422,3.8514
