epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,6075.9970703125,6075.9970703125,6118.3173828125,6117.26123046875,0.3349
1,5643.3369140625,5643.3369140625,5689.05419921875,5688.0048828125,0.4584
2,5238.39306640625,5238.39306640625,5288.22900390625,5287.1865234375,0.5995
3,4858.58251953125,4858.58251953125,4910.5634765625,4909.52880859375,0.7321
4,4500.7353515625,4500.7353515625,4553.1640625,4552.1396484375,0.857
5,4163.61376953125,4163.61376953125,4215.36865234375,4214.35791015625,0.9831
6,3846.559814453125,3846.559814453125,3896.979736328125,3895.983642578125,1.1175
7,3549.44677734375,3549.44677734375,3598.1328125,3597.153564453125,1.2485
8,3273.059814453125,3273.059814453125,3319.25244140625,3318.289794921875,1.3845
9,3018.343994140625,3018.343994140625,3060.981201171875,3060.036376953125,1.5358
10,2785.2431640625,2785.2431640625,2823.79443359375,2822.865966796875,1.6821
11,2573.070556640625,2573.070556640625,2607.50634765625,2606.595458984375,1.8333
12,2380.53369140625,2380.53369140625,2411.073486328125,2410.1796875,1.9883
13,2205.69970703125,2205.69970703125,2232.686767578125,2231.809814453125,2.1464
14,2046.220947265625,2046.220947265625,2070.052734375,2069.19287109375,2.3132
15,1899.664794921875,1899.664794921875,1920.741943359375,1919.8994140625,2.5686
16,1763.803955078125,1763.803955078125,1782.492919921875,1781.6683349609375,2.7782
17,1636.7763671875,1636.7763671875,1653.3948974609375,1652.5882568359375,2.9431
18,1517.129638671875,1517.129638671875,1531.9437255859375,1531.15625,3.0994
19,1403.784423828125,1403.784423828125,1417.01513671875,1416.2469482421875,3.2599
20,1295.968017578125,1295.968017578125,1307.797607421875,1307.049560546875,3.4054
21,1193.142333984375,1193.142333984375,1203.7237548828125,1202.996337890625,3.5525
22,1094.9468994140625,1094.9468994140625,1104.408203125,1103.7021484375,3.6931
23,1001.15234375,1001.15234375,1009.6027221679688,1008.9186401367188,3.8342
24,911.6271362304688,911.6271362304688,919.1594848632812,918.4978637695312,3.9765
25,826.3146362304688,826.3146362304688,833.0103759765625,832.3719482421875,4.1192
26,745.2144775390625,745.2144775390625,751.1468505859375,750.5322265625,4.2466
27,668.3699951171875,668.3699951171875,673.6095581054688,673.0193481445312,4.3741
28,595.8551635742188,595.8551635742188,600.4767456054688,599.9113159179688,4.5035
29,527.7653198242188,527.7653198242188,531.8562622070312,531.3161010742188,4.6268
30,464.20611572265625,464.20611572265625,467.87506103515625,467.36053466796875,4.7506
31,405.2767028808594,405.2767028808594,408.6669921875,408.1783142089844,4.8817
32,351.05059814453125,351.05059814453125,354.355712890625,353.89288330078125,5.0169
33,301.5577697753906,301.5577697753906,305.0284423828125,304.5911560058594,5.1833
34,256.83038330078125,256.83038330078125,260.69989013671875,260.2875061035156,5.3232
35,217.0287628173828,217.0287628173828,221.27731323242188,220.88876342773438,5.4576
36,182.4413604736328,182.4413604736328,186.54893493652344,186.18252563476562,5.5875
37,153.39669799804688,153.39669799804688,156.2438507080078,155.8975067138672,5.7127
38,131.0254669189453,131.0254669189453,130.5366973876953,130.2100830078125,5.8356
39,128.6648712158203,128.6648712158203,123.1124496459961,122.86039733886719,5.9528
40,140.816162109375,140.816162109375,137.6595001220703,137.47207641601562,6.0513
41,141.57559204101562,141.57559204101562,137.525146484375,137.35354614257812,6.1299
42,136.28822326660156,136.28822326660156,131.80673217773438,131.64971923828125,6.2087
43,129.01547241210938,129.01547241210938,124.3055191040039,124.16190338134766,6.291
44,121.17789459228516,121.17789459228516,116.32027435302734,116.18904876708984,6.369
45,113.46965026855469,113.46965026855469,108.49749755859375,108.37785339355469,6.453
46,106.28120422363281,106.28120422363281,101.20145416259766,101.09278869628906,6.5407
47,99.81658935546875,99.81658935546875,94.61774444580078,94.5196533203125,6.6417
48,94.12407684326172,94.12407684326172,88.77996826171875,88.69212341308594,6.7353
49,89.1044921875,89.1044921875,83.57710266113281,83.49913024902344,6.8261
50,84.5344009399414,84.5344009399414,78.77690887451172,78.7081298828125,6.9243
51,80.11927795410156,80.11927795410156,74.0824966430664,74.02180480957031,7.0269
52,75.56884765625,75.56884765625,69.21788024902344,69.16380310058594,7.1369
53,70.6683578491211,70.6683578491211,64.0119400024414,63.96269607543945,7.2518
54,65.31523132324219,65.31523132324219,58.43571090698242,58.38947677612305,7.369
55,59.50352096557617,59.50352096557617,52.56828689575195,52.5234489440918,7.4835
56,53.30693435668945,53.30693435668945,46.55192184448242,46.50718307495117,7.5969
57,46.942481994628906,46.942481994628906,40.64134979248047,40.59589385986328,7.7037
58,40.87765121459961,40.87765121459961,35.282814025878906,35.23673629760742,7.8028
59,36.0672721862793,36.0672721862793,31.090198516845703,31.04447364807129,7.9014
60,34.793617248535156,34.793617248535156,28.90707015991211,28.862878799438477,8.0021
61,34.84387969970703,34.84387969970703,30.368362426757812,30.324254989624023,8.1059
62,38.74622344970703,38.74622344970703,32.57568359375,32.531803131103516,8.2153
63,39.7741584777832,39.7741584777832,32.1488037109375,32.10738754272461,8.3292
64,34.924415588378906,34.924415588378906,28.55417823791504,28.51822280883789,8.4475
65,29.275888442993164,29.275888442993164,23.921907424926758,23.89284324645996,8.5594
66,26.723302841186523,26.723302841186523,21.01433753967285,20.99056625366211,8.6663
67,25.24551773071289,25.24551773071289,19.990161895751953,19.96965789794922,8.7725
68,24.088329315185547,24.088329315185547,19.574462890625,19.556203842163086,8.9014
69,23.469005584716797,23.469005584716797,19.343738555908203,19.326749801635742,9.0312
70,23.08443260192871,23.08443260192871,18.992969512939453,18.976240158081055,9.1572
71,22.475189208984375,22.475189208984375,18.38831901550293,18.370952606201172,9.286
72,21.556562423706055,21.556562423706055,17.503931045532227,17.485164642333984,9.4144
73,20.348297119140625,20.348297119140625,16.371976852416992,16.351160049438477,9.5308
74,18.914615631103516,18.914615631103516,15.05688190460205,15.033474922180176,9.6435
75,17.34847640991211,17.34847640991211,13.641672134399414,13.615242004394531,9.7549
76,15.78453540802002,15.78453540802002,12.221517562866211,12.191750526428223,9.8726
77,14.4533052444458,14.4533052444458,10.90427017211914,10.870988845825195,9.9875
78,13.400289535522461,13.400289535522461,9.799199104309082,9.762409210205078,10.0958
79,12.534063339233398,12.534063339233398,8.96473503112793,8.924481391906738,10.1983
80,12.019835472106934,12.019835472106934,8.464154243469238,8.420454025268555,10.3022
81,12.020024299621582,12.020024299621582,8.347992897033691,8.300832748413086,10.4051
82,12.223719596862793,12.223719596862793,8.521806716918945,8.471282958984375,10.5072
83,12.275032043457031,12.275032043457031,8.696076393127441,8.642985343933105,10.6186
84,12.052387237548828,12.052387237548828,8.606064796447754,8.551856994628906,10.7301
85,11.578310012817383,11.578310012817383,8.202502250671387,8.148645401000977,10.8435
86,10.952914237976074,10.952914237976074,7.609126091003418,7.556836128234863,10.9486
87,10.30743408203125,10.30743408203125,7.014897346496582,6.965035915374756,11.0542
88,9.768677711486816,9.768677711486816,6.565069675445557,6.518092155456543,11.1597
89,9.41868782043457,9.41868782043457,6.301751613616943,6.257746696472168,11.263
90,9.24411678314209,9.24411678314209,6.1835527420043945,6.142366409301758,11.3806
