epoch,total_loss,state_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,8.31769847869873,8.317691802978516,6.67572021484375e-06,14.3385,14.338509,2774
1,7.8446574211120605,7.8446478843688965,9.5367431640625e-06,30.7126,16.374062,3116
2,7.33268404006958,7.332671165466309,1.2874603271484375e-05,47.7694,17.056808,3230
3,6.787028789520264,6.787013530731201,1.52587890625e-05,68.8571,21.087699,3890
4,6.306720733642578,6.306702136993408,1.8596649169921875e-05,88.9013,20.044201,3692
5,5.814163684844971,5.814142227172852,2.1457672119140625e-05,107.8623,18.96104,3488
6,5.2268171310424805,5.226794242858887,2.288818359375e-05,127.6764,19.814116,3680
7,4.7124714851379395,4.7124505043029785,2.09808349609375e-05,146.7245,19.048055,3548
8,4.50506591796875,4.505047798156738,1.811981201171875e-05,164.3571,17.632624,3266
9,4.38060188293457,4.380583763122559,1.811981201171875e-05,182.837,18.479854,3392
10,4.593842506408691,4.593822956085205,1.9550323486328125e-05,201.9332,19.096192,3440
11,4.687365531921387,4.687345027923584,2.0503997802734375e-05,220.3865,18.453337,3368
12,4.702277183532715,4.702256679534912,2.0503997802734375e-05,238.4023,18.015814,3290
13,4.633811950683594,4.633791446685791,2.0503997802734375e-05,255.9718,17.56952,3200
14,4.491315841674805,4.491295337677002,2.0503997802734375e-05,273.9688,17.996984,3290
15,4.2518439292907715,4.251823425292969,2.0503997802734375e-05,292.3802,18.411372,3350
16,4.340324878692627,4.340303897857666,2.09808349609375e-05,308.8793,16.499097,2990
17,3.854868173599243,3.854846715927124,2.1457672119140625e-05,328.1475,19.268262,3542
18,3.8802297115325928,3.8802058696746826,2.384185791015625e-05,349.2633,21.115716,3848
19,3.734806776046753,3.7347822189331055,2.4557113647460938e-05,370.2735,21.010201,3812
20,3.6474502086639404,3.6474251747131348,2.5033950805664062e-05,390.2337,19.960206,3542
21,3.5741076469421387,3.5740835666656494,2.4080276489257812e-05,409.5915,19.35782,3530
22,3.63100004196167,3.6309754848480225,2.4557113647460938e-05,432.6578,23.066333,3674
23,3.538193702697754,3.5381672382354736,2.6464462280273438e-05,454.8318,22.174018,3872
24,3.5991408824920654,3.5991125106811523,2.8371810913085938e-05,476.9789,22.147087,3962
25,3.5922257900238037,3.5921967029571533,2.9087066650390625e-05,499.4626,22.483717,4058
26,3.475848913192749,3.475820541381836,2.8371810913085938e-05,521.1344,21.671762,3878
27,3.4427382946014404,3.4427106380462646,2.765655517578125e-05,542.3624,21.22799,3824
28,3.4225316047668457,3.4225046634674072,2.6941299438476562e-05,563.5229,21.160533,3794
29,3.3332629203796387,3.3332359790802,2.6941299438476562e-05,584.2575,20.734584,3710
30,3.268099784851074,3.2680726051330566,2.7179718017578125e-05,604.9598,20.702291,3752
31,3.206268787384033,3.2062418460845947,2.6941299438476562e-05,626.1373,21.177505,3830
32,3.138810157775879,3.1387836933135986,2.6464462280273438e-05,647.1237,20.986383,3806
33,3.0313661098480225,3.031341314315796,2.47955322265625e-05,667.9371,20.813371,3752
34,2.9807374477386475,2.980713367462158,2.4080276489257812e-05,689.2471,21.309995,3644
35,3.0048844814300537,3.0048599243164062,2.4557113647460938e-05,709.6031,20.356013,3644
36,2.9158661365509033,2.915843963623047,2.2172927856445312e-05,730.1009,20.497789,3674
37,2.8946545124053955,2.8946332931518555,2.1219253540039062e-05,748.4037,18.30287,3308
38,2.7664196491241455,2.7663984298706055,2.1219253540039062e-05,768.4205,20.016791,3632
39,3.0307490825653076,3.030726432800293,2.2649765014648438e-05,790.8961,22.475582,3686
40,3.0236053466796875,3.023583173751831,2.2172927856445312e-05,812.8243,21.928163,3830
41,3.3215677738189697,3.321544885635376,2.288818359375e-05,830.4832,17.658944,3176
42,3.7545077800750732,3.754481792449951,2.5987625122070312e-05,854.3552,23.872009,4346
43,4.328702926635742,4.328673362731934,2.956390380859375e-05,879.351,24.995741,4508
44,4.599386215209961,4.599353790283203,3.24249267578125e-05,903.9743,24.623323,4400
45,4.7712907791137695,4.771255970001221,3.4809112548828125e-05,930.7583,26.784017,4736
46,4.887260913848877,4.887224197387695,3.6716461181640625e-05,960.1675,29.40918,5120
47,4.966113567352295,4.9660749435424805,3.8623809814453125e-05,989.8024,29.634929,5006
48,5.017733097076416,5.017693042755127,4.00543212890625e-05,1017.6026,27.800228,4832
49,5.048282623291016,5.048241138458252,4.1484832763671875e-05,1045.8904,28.287759,4856
50,5.062256336212158,5.062213897705078,4.2438507080078125e-05,1072.7461,26.855739,4586
51,5.063160419464111,5.063117027282715,4.3392181396484375e-05,1103.2709,30.52473,4712
52,5.053040027618408,5.0529961585998535,4.38690185546875e-05,1129.528,26.25709,4502
53,5.03292179107666,5.0328779220581055,4.38690185546875e-05,1154.279,24.751063,4232
54,5.003698825836182,5.003654956817627,4.38690185546875e-05,1178.1261,23.847045,4052
55,4.966069221496582,4.966025352478027,4.38690185546875e-05,1203.493,25.366955,3812
56,4.920743465423584,4.9207000732421875,4.3392181396484375e-05,1226.2768,22.783753,3836
57,4.868452548980713,4.868410110473633,4.2438507080078125e-05,1248.1669,21.890166,3710
58,4.809768199920654,4.809726238250732,4.1961669921875e-05,1270.5342,22.36722,3752
59,4.745639324188232,4.745598316192627,4.100799560546875e-05,1293.4681,22.933901,3830
60,4.676951885223389,4.676912307739258,3.9577484130859375e-05,1316.2709,22.802865,3830
61,4.604607582092285,4.604568958282471,3.8623809814453125e-05,1339.0123,22.741426,3800
62,4.529788494110107,4.529751300811768,3.719329833984375e-05,1363.0213,24.00895,4034
63,4.453622817993164,4.453587055206299,3.5762786865234375e-05,1386.859,23.837688,4052
64,4.377298831939697,4.377264022827148,3.4809112548828125e-05,1412.8294,25.970449,4268
65,4.3020806312561035,4.302047252655029,3.337860107421875e-05,1442.0195,29.190087,4412
66,4.228973865509033,4.228941917419434,3.1948089599609375e-05,1470.9534,28.933898,4376
67,4.159049987792969,4.159019470214844,3.0517578125e-05,1496.0263,25.072929,4190
68,4.093054294586182,4.093024730682373,2.956390380859375e-05,1520.3531,24.326778,4064
69,4.03162145614624,4.031593322753906,2.8133392333984375e-05,1544.1444,23.791312,4004
70,3.9751367568969727,3.975109815597534,2.6941299438476562e-05,1568.9376,24.793171,4172
71,3.9236645698547363,3.9236385822296143,2.5987625122070312e-05,1592.7933,23.855696,4028
72,3.8771400451660156,3.877115249633789,2.47955322265625e-05,1617.5099,24.716601,4148
73,3.8353631496429443,3.835339307785034,2.384185791015625e-05,1641.8299,24.319998,4064
74,3.797773599624634,3.797750473022461,2.3126602172851562e-05,1665.8782,24.048333,4058
75,3.7639689445495605,3.763946533203125,2.2411346435546875e-05,1690.6383,24.760089,4178
76,3.7332308292388916,3.7332091331481934,2.1696090698242188e-05,1714.0759,23.437546,3956
77,3.7049400806427,3.7049190998077393,2.09808349609375e-05,1737.9578,23.881942,4040
78,3.678389549255371,3.6783690452575684,2.0503997802734375e-05,1761.2183,23.260459,3908
79,3.6527585983276367,3.6527388095855713,1.9788742065429688e-05,1784.8148,23.596553,3956
80,3.627197027206421,3.6271777153015137,1.9311904907226562e-05,1811.4479,26.633106,3962
81,3.6005845069885254,3.6005654335021973,1.9073486328125e-05,1834.4453,22.997381,3866
82,3.571349859237671,3.571331262588501,1.8596649169921875e-05,1858.3638,23.918458,3896
83,3.5366880893707275,3.536669969558716,1.811981201171875e-05,1882.9165,24.552716,3908
84,3.4898033142089844,3.4897854328155518,1.7881393432617188e-05,1905.7802,22.86369,3818
85,3.4495556354522705,3.449538469314575,1.71661376953125e-05,1927.9427,22.162561,3722
86,3.423743963241577,3.423727035522461,1.6927719116210938e-05,1949.6331,21.690389,3614
87,3.390500545501709,3.390483856201172,1.6689300537109375e-05,1971.1494,21.516285,3650
88,3.345412492752075,3.345396041870117,1.6450881958007812e-05,1992.7966,21.647222,3662
89,3.2768118381500244,3.2767956256866455,1.621246337890625e-05,2015.2452,22.448522,3794
90,3.2379345893859863,3.2379190921783447,1.5497207641601562e-05,2036.1587,20.913586,3512
91,3.2465155124664307,3.2465004920959473,1.5020370483398438e-05,2056.3504,20.19167,3416
92,3.261998414993286,3.261983633041382,1.4781951904296875e-05,2074.8581,18.507715,3140
93,3.2572617530822754,3.257246971130371,1.4781951904296875e-05,2093.9899,19.131784,3260
94,3.224008560180664,3.2239937782287598,1.4781951904296875e-05,2112.9797,18.989816,3230
95,3.170663595199585,3.1706485748291016,1.5020370483398438e-05,2131.4295,18.449756,3128
96,3.104585886001587,3.1045708656311035,1.5020370483398438e-05,2150.4093,18.979838,3236
97,3.030231475830078,3.0302159786224365,1.5497207641601562e-05,2170.2548,19.845436,3386
98,2.968275308609009,2.968259572982788,1.5735626220703125e-05,2189.5564,19.301682,3254
99,2.923060417175293,2.9230446815490723,1.5735626220703125e-05,2210.7345,21.178025,3164
100,2.8760628700256348,2.8760464191436768,1.6450881958007812e-05,2235.8481,25.113654,3356
101,2.8353703022003174,2.8353536128997803,1.6689300537109375e-05,2256.3819,20.533768,3338
102,2.80534291267395,2.805326223373413,1.6689300537109375e-05,2277.5999,21.218059,3428
103,2.7507405281066895,2.7507236003875732,1.6927719116210938e-05,2298.7756,21.175631,3446
104,2.7004880905151367,2.7004716396331787,1.6450881958007812e-05,2318.4271,19.651484,3182
105,2.6274521350860596,2.6274359226226807,1.621246337890625e-05,2338.4097,19.982626,3230
106,2.571310043334961,2.571294069290161,1.5974044799804688e-05,2356.9095,18.499778,2996
107,2.574627637863159,2.5746119022369385,1.5735626220703125e-05,2374.8062,17.89675,2882
108,2.541093587875366,2.5410778522491455,1.5735626220703125e-05,2393.0872,18.280982,2960
109,2.4688758850097656,2.468859910964966,1.5974044799804688e-05,2411.9903,18.903081,3068
110,2.4350998401641846,2.4350838661193848,1.5974044799804688e-05,2432.1824,20.192111,2942
111,2.3786981105804443,2.3786816596984863,1.6450881958007812e-05,2451.2262,19.043826,2984
112,2.365673303604126,2.365656852722168,1.6450881958007812e-05,2469.041,17.814832,2918
113,2.3406739234924316,2.3406574726104736,1.6450881958007812e-05,2487.444,18.402974,3014
114,2.2912216186523438,2.291205406188965,1.621246337890625e-05,2505.4569,18.012878,3002
115,2.272770404815674,2.272754669189453,1.5735626220703125e-05,2524.0368,18.579867,2954
116,2.286550283432007,2.2865347862243652,1.5497207641601562e-05,2543.1654,19.128626,2768
117,2.292497158050537,2.2924816608428955,1.5497207641601562e-05,2560.2378,17.07238,2798
118,2.224119186401367,2.2241036891937256,1.5497207641601562e-05,2576.7311,16.493336,2768
119,2.147826671600342,2.1478111743927,1.5497207641601562e-05,2592.9993,16.268164,2744
120,2.1408896446228027,2.140873670578003,1.5974044799804688e-05,2609.735,16.735773,2804
121,2.2724995613098145,2.2724833488464355,1.621246337890625e-05,2626.7448,17.009798,2876
122,2.104987859725952,2.1049723625183105,1.5497207641601562e-05,2643.2747,16.52981,2780
123,2.122509717941284,2.1224942207336426,1.5497207641601562e-05,2659.3014,16.026791,2684
124,2.212283134460449,2.2122676372528076,1.5497207641601562e-05,2675.3508,16.049334,2714
125,2.09287166595459,2.0928561687469482,1.5497207641601562e-05,2691.4032,16.052387,2714
126,2.0175399780273438,2.017524480819702,1.5497207641601562e-05,2706.4502,15.047054,2540
127,2.10048246383667,2.100466012954712,1.6450881958007812e-05,2723.1093,16.659065,2816
128,1.9808579683303833,1.9808423519134521,1.5616416931152344e-05,2738.3327,15.223457,2522
129,1.9892995357513428,1.9892839193344116,1.5616416931152344e-05,2753.2749,14.94218,2522
130,1.9956218004226685,1.9956060647964478,1.5735626220703125e-05,2769.6915,16.416556,2564
131,1.9801716804504395,1.9801559448242188,1.5735626220703125e-05,2786.4972,16.805688,2564
132,1.9464560747146606,1.94644033908844,1.5735626220703125e-05,2801.269,14.77179,2450
133,1.9160959720611572,1.916080117225647,1.5854835510253906e-05,2816.2633,14.994327,2498
134,1.9370810985565186,1.9370646476745605,1.6450881958007812e-05,2831.7363,15.473056,2558
135,1.927086353302002,1.9270697832107544,1.6570091247558594e-05,2847.3011,15.564778,2624
136,1.8736176490783691,1.8736014366149902,1.621246337890625e-05,2862.6632,15.362079,2594
137,1.8335407972335815,1.833524227142334,1.6570091247558594e-05,2878.2003,15.537094,2600
138,1.8713524341583252,1.8713363409042358,1.609325408935547e-05,2895.8768,17.676511,2486
139,1.8887338638305664,1.8887176513671875,1.621246337890625e-05,2913.1693,17.292457,2594
140,1.8780688047409058,1.8780525922775269,1.621246337890625e-05,2928.6153,15.446043,2582
141,1.8405855894088745,1.8405693769454956,1.621246337890625e-05,2943.7769,15.161568,2546
142,1.7703486680984497,1.7703320980072021,1.6570091247558594e-05,2958.6354,14.858541,2486
143,1.9241448640823364,1.9241278171539307,1.704692840576172e-05,2974.3645,15.729089,2672
144,1.8071883916854858,1.807172179222107,1.621246337890625e-05,2988.6045,14.239978,2414
145,1.9612823724746704,1.9612650871276855,1.728534698486328e-05,3003.6148,15.010315,2516
146,1.7441188097000122,1.7441020011901855,1.6808509826660156e-05,3018.8113,15.196518,2576
147,2.0634665489196777,2.063448905944824,1.7642974853515625e-05,3034.6212,15.809839,2678
148,1.7643771171569824,1.7643603086471558,1.6808509826660156e-05,3050.2207,15.599511,2660
149,2.161095142364502,2.1610774993896484,1.7642974853515625e-05,3064.5692,14.348503,2432
150,3.535961151123047,3.5359387397766113,2.2411346435546875e-05,3079.1706,14.601419,2468
151,2.3221702575683594,2.3221523761749268,1.7881393432617188e-05,3094.5368,15.366199,2606
152,1.798741340637207,1.7987245321273804,1.6808509826660156e-05,3109.005,14.468169,2468
153,2.246873378753662,2.2468552589416504,1.811981201171875e-05,3124.8216,15.816608,2702
154,2.3005735874176025,2.300555467605591,1.811981201171875e-05,3139.9861,15.164495,2588
155,1.8435423374176025,1.8435245752334595,1.7762184143066406e-05,3155.4824,15.496391,2642
156,2.0285983085632324,2.028580665588379,1.7642974853515625e-05,3169.701,14.21853,2408
157,2.489023447036743,2.4890050888061523,1.8358230590820312e-05,3184.1498,14.448798,2468
158,2.7024624347686768,2.702444553375244,1.7881393432617188e-05,3198.9912,14.841414,2534
159,2.562328577041626,2.562310218811035,1.8358230590820312e-05,3214.1299,15.138708,2576
160,2.061711072921753,2.061692953109741,1.811981201171875e-05,3228.8156,14.685737,2504
161,1.8366886377334595,1.8366707563400269,1.7881393432617188e-05,3243.7198,14.904185,2546
162,2.065525531768799,2.06550669670105,1.8835067749023438e-05,3258.9746,15.254825,2576
163,2.1919586658477783,2.1919398307800293,1.8835067749023438e-05,3273.912,14.937345,2522
164,2.198505401611328,2.198486328125,1.9073486328125e-05,3289.3525,15.440522,2630
165,1.963935136795044,1.9639164209365845,1.8715858459472656e-05,3306.8137,17.461146,2714
166,1.9584779739379883,1.9584598541259766,1.811981201171875e-05,3323.7976,16.983936,2600
167,2.0170786380767822,2.0170602798461914,1.8358230590820312e-05,3338.7716,14.974018,2534
168,2.2347705364227295,2.2347514629364014,1.9073486328125e-05,3354.5885,15.816872,2708
169,2.2504963874816895,2.2504775524139404,1.8835067749023438e-05,3370.405,15.816525,2684
170,3.2499024868011475,3.2498831748962402,1.9311904907226562e-05,3386.7089,16.303888,2756
171,3.6354007720947266,3.6353812217712402,1.9550323486328125e-05,3402.3976,15.688691,2672
172,3.735569477081299,3.7355499267578125,1.9550323486328125e-05,3417.9163,15.518692,2648
173,3.6890511512756348,3.6890320777893066,1.9073486328125e-05,3433.7671,15.850801,2630
174,3.494680643081665,3.494662046432495,1.8596649169921875e-05,3450.7291,16.962024,2906
175,3.1326234340667725,3.1326053142547607,1.811981201171875e-05,3467.0446,16.315474,2792
176,2.421433687210083,2.4214160442352295,1.7642974853515625e-05,3483.7159,16.671364,2852
177,1.7806456089019775,1.7806288003921509,1.6808509826660156e-05,3498.8065,15.090545,2570
178,2.680111885070801,2.680095672607422,1.621246337890625e-05,3513.6673,14.860776,2498
179,3.38783860206604,3.387821674346924,1.6927719116210938e-05,3527.7648,14.097528,2402
180,3.811277389526367,3.8112592697143555,1.811981201171875e-05,3542.675,14.91021,2546
181,3.3923745155334473,3.392357587814331,1.6927719116210938e-05,3557.2029,14.527925,2474
182,2.782655715942383,2.782639503479004,1.621246337890625e-05,3572.9687,15.765778,2666
183,1.8401063680648804,1.8400897979736328,1.6570091247558594e-05,3588.5538,15.585088,2660
184,2.0996861457824707,2.099670171737671,1.5974044799804688e-05,3604.7078,16.15397,2738
185,2.5071840286254883,2.507166862487793,1.71661376953125e-05,3621.0239,16.316093,2786
186,2.818293809890747,2.818276882171631,1.6927719116210938e-05,3637.5548,16.530963,2810
187,2.8145415782928467,2.8145246505737305,1.6927719116210938e-05,3654.4424,16.887585,2810
188,2.5548696517944336,2.5548527240753174,1.6927719116210938e-05,3673.3714,18.928966,2852
189,1.9893633127212524,1.989347219467163,1.609325408935547e-05,3690.2043,16.832939,2732
190,2.0863468647003174,2.0863301753997803,1.6689300537109375e-05,3705.8262,15.621905,2660
191,2.6260602474212646,2.626044273376465,1.5974044799804688e-05,3721.2652,15.438976,2582
192,2.5156407356262207,2.5156242847442627,1.6450881958007812e-05,3737.0064,15.741174,2684
193,1.8016389608383179,1.8016226291656494,1.633167266845703e-05,3752.853,15.846597,2696
194,2.050974130630493,2.0509581565856934,1.5974044799804688e-05,3768.6993,15.846314,2696
195,2.3530709743499756,2.3530540466308594,1.6927719116210938e-05,3785.1026,16.403331,2810
196,2.4375669956207275,2.4375500679016113,1.6927719116210938e-05,3800.7283,15.625699,2696
197,2.359065055847168,2.3590481281280518,1.6927719116210938e-05,3816.7179,15.989604,2732
198,2.0106453895568848,2.0106287002563477,1.6689300537109375e-05,3832.8817,16.163759,2750
199,1.7492389678955078,1.749222993850708,1.5974044799804688e-05,3848.4164,15.534758,2648
200,1.7769023180007935,1.7768858671188354,1.6450881958007812e-05,3864.4256,16.00916,2666
201,1.9011733531951904,1.9011566638946533,1.6689300537109375e-05,3880.7869,16.361362,2786
202,1.8458560705184937,1.8458393812179565,1.6689300537109375e-05,3896.5502,15.763284,2696
203,1.7497094869613647,1.7496930360794067,1.6450881958007812e-05,3911.9173,15.367085,2624
204,1.7206151485443115,1.7205990552902222,1.609325408935547e-05,3926.6644,14.747066,2522
205,1.8345093727111816,1.8344926834106445,1.6689300537109375e-05,3943.3565,16.69209,2840
206,1.7556746006011963,1.75565767288208,1.6927719116210938e-05,3959.4276,16.071102,2744
207,1.6957104206085205,1.6956939697265625,1.6450881958007812e-05,3974.5973,15.169714,2570
208,1.6966084241867065,1.6965916156768799,1.6808509826660156e-05,3990.7622,16.164947,2582
209,1.704887866973877,1.704870581626892,1.728534698486328e-05,4005.987,15.224733,2594
210,1.710646390914917,1.710628867149353,1.7523765563964844e-05,4022.1303,16.14331,2624
211,1.6938380002975464,1.6938202381134033,1.7762184143066406e-05,4040.5668,18.436564,2642
212,1.6671483516693115,1.667130470275879,1.7881393432617188e-05,4056.0058,15.438953,2522
213,1.6456260681152344,1.6456080675125122,1.800060272216797e-05,4070.8142,14.80841,2516
214,1.639939308166504,1.6399204730987549,1.8835067749023438e-05,4086.7114,15.897194,2672
215,1.5964758396148682,1.5964566469192505,1.919269561767578e-05,4102.6558,15.944399,2696
216,1.6390540599822998,1.6390347480773926,1.9311904907226562e-05,4117.6601,15.004271,2546
217,1.69428288936615,1.694262981414795,1.990795135498047e-05,4133.0671,15.40699,2630
218,1.6705330610275269,1.6705127954483032,2.0265579223632812e-05,4148.4728,15.405724,2618
219,1.6127264499664307,1.6127060651779175,2.0384788513183594e-05,4163.0161,14.543305,2462
220,1.5453948974609375,1.5453739166259766,2.09808349609375e-05,4178.7291,15.712989,2630
221,1.7070016860961914,1.7069796323776245,2.205371856689453e-05,4194.6084,15.879296,2708
222,1.536816120147705,1.5367944240570068,2.1696090698242188e-05,4209.6713,15.062967,2552
