epoch,total_loss,mse_loss,test_mse_noisy,test_mse_clean,elapsed_seconds
0,1276.571044921875,1276.571044921875,1329.2071533203125,1329.2071533203125,0.1916
1,1099.385498046875,1099.385498046875,1149.8095703125,1149.8095703125,0.2485
2,934.4246826171875,934.4246826171875,982.0374145507812,982.0374145507812,0.2995
3,780.827880859375,780.827880859375,825.0222778320312,825.0222778320312,0.351
4,639.0718383789062,639.0718383789062,679.3624877929688,679.3624877929688,0.4125
5,515.0359497070312,515.0359497070312,551.4552001953125,551.4552001953125,0.4699
6,412.2142028808594,412.2142028808594,444.8436584472656,444.8436584472656,0.5246
7,322.5244445800781,322.5244445800781,351.2278747558594,351.2278747558594,0.5833
8,232.8059539794922,232.8059539794922,256.41546630859375,256.41546630859375,0.6455
9,159.15158081054688,159.15158081054688,176.6600799560547,176.6600799560547,0.7055
10,115.79838562011719,115.79838562011719,128.64932250976562,128.64932250976562,0.7636
11,91.40419006347656,91.40419006347656,100.76829528808594,100.76829528808594,0.8192
12,76.79206848144531,76.79206848144531,83.78602600097656,83.78602600097656,0.8777
13,69.7912368774414,69.7912368774414,71.74044799804688,71.74044799804688,0.9439
14,69.9122314453125,69.9122314453125,65.95027160644531,65.95027160644531,1.0187
15,74.58903503417969,74.58903503417969,69.80027770996094,69.80027770996094,1.0802
16,81.39635467529297,81.39635467529297,75.69938659667969,75.69938659667969,1.1389
17,88.0520248413086,88.0520248413086,81.22953033447266,81.22953033447266,1.1975
18,93.30564880371094,93.30564880371094,85.57625579833984,85.57625579833984,1.2509
19,96.72953796386719,96.72953796386719,88.32440948486328,88.32440948486328,1.3056
20,98.14665222167969,98.14665222167969,89.2850570678711,89.2850570678711,1.3604
21,97.50662994384766,97.50662994384766,88.40279388427734,88.40279388427734,1.4124
22,94.81767272949219,94.81767272949219,85.68799591064453,85.68799591064453,1.4649
23,90.11009216308594,90.11009216308594,81.17341613769531,81.17341613769531,1.5185
24,83.45542907714844,83.45542907714844,74.91485595703125,74.91485595703125,1.572
25,75.07173156738281,75.07173156738281,67.0761489868164,67.0761489868164,1.6292
26,65.53873443603516,65.53873443603516,58.134803771972656,58.134803771972656,1.6924
27,56.013877868652344,56.013877868652344,49.11647415161133,49.11647415161133,1.7553
28,47.88673400878906,47.88673400878906,41.438270568847656,41.438270568847656,1.8156
29,41.829994201660156,41.829994201660156,35.96613693237305,35.96613693237305,1.8741
30,37.58192443847656,37.58192443847656,32.409034729003906,32.409034729003906,1.9306
31,34.49698257446289,34.49698257446289,30.042205810546875,30.042205810546875,1.9893
32,32.028465270996094,32.028465270996094,28.266170501708984,28.266170501708984,2.0474
33,29.858264923095703,29.858264923095703,26.682727813720703,26.682727813720703,2.1107
34,27.858409881591797,27.858409881591797,25.07370376586914,25.07370376586914,2.1734
35,25.980777740478516,25.980777740478516,23.42403793334961,23.42403793334961,2.2334
36,24.242168426513672,24.242168426513672,21.914920806884766,21.914920806884766,2.2962
37,22.712444305419922,22.712444305419922,20.88300895690918,20.88300895690918,2.3604
38,21.48360824584961,21.48360824584961,20.48847770690918,20.48847770690918,2.4265
39,20.562063217163086,20.562063217163086,20.576631546020508,20.576631546020508,2.4873
40,19.845523834228516,19.845523834228516,20.849882125854492,20.849882125854492,2.5535
41,19.18979263305664,19.18979263305664,21.01045799255371,21.01045799255371,2.6159
42,18.48556137084961,18.48556137084961,20.834209442138672,20.834209442138672,2.6808
43,17.687000274658203,17.687000274658203,20.23538589477539,20.23538589477539,2.7438
