epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,8.368658e-01,2786.0,True,1.959184e-04,1.712274e+05,-8093.17,-170341,-12177,-561.727,-2670.95,8719.92,-990.885,2050.04,-606.41
1,1.643517e+00,5.670104e+00,2982.9,True,7.346939e-05,1.712274e+05,-8093.17,-170341,-12177,-561.725,-2670.94,8719.92,-990.883,2050.04,-606.412
2,4.345513e+00,1.220637e+00,2826.7,True,1.102041e-04,1.712274e+05,-8093.17,-170341,-12177,-561.723,-2670.95,8719.92,-990.884,2050.04,-606.413
5,3.135328e+00,1.355447e+01,2627.0,True,4.285714e-04,1.712274e+05,-8093.16,-170341,-12177,-561.719,-2670.95,8719.91,-990.885,2050.04,-606.414
10,2.110813e+00,7.902674e-01,2764.7,True,1.224490e-04,1.712274e+05,-8093.16,-170341,-12177,-561.717,-2670.95,8719.91,-990.882,2050.05,-606.415
20,8.561007e-01,4.798345e-01,2726.7,True,1.714286e-04,1.712274e+05,-8093.16,-170341,-12177,-561.711,-2670.95,8719.9,-990.883,2050.05,-606.423
50,5.603261e-01,2.929279e-01,2766.8,True,1.346939e-04,1.712274e+05,-8093.14,-170341,-12177,-561.687,-2670.96,8719.88,-990.883,2050.05,-606.416
100,5.198333e-01,1.702543e-01,2738.8,True,1.469388e-04,1.712274e+05,-8093.12,-170341,-12177,-561.651,-2670.99,8719.83,-990.886,2050.05,-606.427
200,4.848445e-01,1.235562e-01,2706.9,True,1.469388e-04,1.712274e+05,-8093.04,-170341,-12177,-561.568,-2671.04,8719.73,-990.886,2050.05,-606.482
500,4.599458e-01,1.112531e-01,2669.0,True,1.591837e-04,1.712274e+05,-8092.75,-170341,-12177,-561.273,-2671.24,8719.44,-990.879,2050.05,-606.622
1000,4.300450e-01,1.031253e-01,2668.8,True,1.591837e-04,1.712274e+05,-8092.15,-170341,-12177,-560.747,-2671.64,8718.95,-990.857,2050.05,-606.792
2000,4.150917e-01,7.529400e-02,2686.4,True,1.469388e-04,1.712272e+05,-8090.69,-170341,-12177,-559.672,-2672.43,8717.97,-990.836,2050.05,-607.257
3000,3.629208e-01,1.429240e-01,2679.1,True,1.591837e-04,1.712271e+05,-8089.41,-170341,-12177,-558.69,-2672.95,8716.99,-990.813,2050.05,-607.81
5000,4.881828e+01,1.095139e+02,5879.6,True,2.081633e-04,1.712271e+05,-8089.4,-170341,-12176.9,-558.693,-2672.92,8717,-990.862,2050.11,-607.793
7500,3.017023e+01,5.732593e+01,4836.7,True,1.714286e-04,1.712271e+05,-8089.4,-170341,-12176.9,-558.693,-2672.92,8717,-990.862,2050.11,-607.793
10000,1.968059e+01,2.557372e+01,3885.5,True,1.224490e-04,1.712271e+05,-8089.4,-170341,-12176.9,-558.695,-2672.92,8717,-990.861,2050.11,-607.794
