epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,3.614966e+02,7477.4,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.77,68352.6,38093.1,-18390.3,-129359,36531.7
1,3.706078e+01,5.146199e+02,8429.4,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.77,68352.6,38093.1,-18390.3,-129359,36531.7
2,5.697062e+01,4.629628e+02,8113.8,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
5,4.398862e+01,3.757648e+02,7542.5,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
10,3.446136e+01,3.062887e+02,7043.0,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
20,2.181631e+01,2.502797e+02,6604.3,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
50,1.915635e+01,2.194412e+02,6348.9,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
100,1.898809e+01,2.175997e+02,6333.4,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
200,1.898681e+01,2.175857e+02,6333.3,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
500,1.898628e+01,2.175777e+02,6333.2,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
1000,1.898487e+01,2.175639e+02,6333.1,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
2000,1.897425e+01,2.174407e+02,6332.1,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
3000,1.894950e+01,2.171579e+02,6329.8,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
5000,1.883044e+01,2.158017e+02,6318.6,True,2.448980e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
7500,1.823314e+01,2.093958e+02,6266.2,True,3.673469e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.3,-129359,36531.7
10000,4.256446e+01,3.832983e+02,7571.8,True,1.224490e-05,1.712274e+05,36703.8,-38077.3,43878.3,-8172.76,68352.6,38093.1,-18390.2,-129359,36531.7
