epoch,total_loss,state_mse,pinn_loss,elapsed_seconds,epoch_wall_time_s,nfe
0,3.324261426925659,3.3242335319519043,2.7894973754882812e-05,1.3987,1.398709,1730
1,4.130273818969727,4.130235195159912,3.8623809814453125e-05,2.8434,1.444656,1466
2,4.366018772125244,4.365975379943848,4.3392181396484375e-05,4.287,1.443669,1526
3,4.1735358238220215,4.1734938621521,4.1961669921875e-05,5.4671,1.180062,1538
4,3.7614099979400635,3.7613725662231445,3.743171691894531e-05,6.8172,1.350063,1742
5,3.060389995574951,3.0603575706481934,3.24249267578125e-05,8.3907,1.573494,1700
6,3.853882312774658,3.8538548946380615,2.7418136596679688e-05,9.6495,1.258823,1730
7,3.4788148403167725,3.478785991668701,2.8848648071289062e-05,10.9056,1.256094,1736
8,2.9561548233032227,2.9561209678649902,3.3855438232421875e-05,12.3455,1.43996,1760
9,3.359484910964966,3.3594470024108887,3.790855407714844e-05,13.5658,1.220293,1730
10,3.519929885864258,3.5198895931243896,4.029273986816406e-05,15.0462,1.480384,1610
11,3.475604772567749,3.4755642414093018,4.0531158447265625e-05,16.3918,1.345638,1634
12,3.2106807231903076,3.210641860961914,3.886222839355469e-05,17.6463,1.254407,1748
13,2.8158483505249023,2.815812826156616,3.552436828613281e-05,18.9024,1.256184,1814
14,3.143310785293579,3.1432788372039795,3.1948089599609375e-05,20.4284,1.525983,1766
15,3.165116548538208,3.1650843620300293,3.218650817871094e-05,21.7325,1.30413,1802
16,2.7561755180358887,2.7561402320861816,3.528594970703125e-05,23.061,1.328459,1766
17,2.885429859161377,2.8853907585144043,3.910064697265625e-05,24.3188,1.257831,1778
18,3.0546305179595947,3.0545897483825684,4.076957702636719e-05,25.6763,1.357449,1772
19,2.973453998565674,2.9734134674072266,4.0531158447265625e-05,26.9257,1.249373,1742
20,2.7546067237854004,2.754568099975586,3.8623809814453125e-05,28.4869,1.56126,1772
21,2.7973897457122803,2.797354221343994,3.552436828613281e-05,29.7919,1.304984,1796
22,2.9393467903137207,2.939312219619751,3.457069396972656e-05,31.1034,1.311463,1784
23,2.7416467666625977,2.741610527038574,3.62396240234375e-05,32.4723,1.368948,1778
24,2.753204107284546,2.7531650066375732,3.910064697265625e-05,33.7234,1.251125,1766
25,2.8887760639190674,2.888735771179199,4.029273986816406e-05,34.9744,1.250994,1784
26,2.8079941272735596,2.8079543113708496,3.981590270996094e-05,36.2688,1.294359,1778
27,2.682694435119629,2.682657241821289,3.719329833984375e-05,37.5282,1.259419,1754
28,2.8132028579711914,2.8131675720214844,3.528594970703125e-05,38.8282,1.300037,1814
29,2.7720282077789307,2.7719926834106445,3.552436828613281e-05,40.0894,1.261146,1808
30,2.668851137161255,2.668813943862915,3.719329833984375e-05,41.4433,1.353921,1778
31,2.7563204765319824,2.756281852722168,3.8623809814453125e-05,42.7664,1.323126,1802
32,2.7591047286987305,2.759066343307495,3.838539123535156e-05,44.2741,1.507661,1760
33,2.667426347732544,2.667389392852783,3.695487976074219e-05,46.0232,1.749074,1772
34,2.721230983734131,2.721196174621582,3.4809112548828125e-05,47.4671,1.443919,1790
35,2.749641180038452,2.7496070861816406,3.409385681152344e-05,48.7035,1.236403,1760
36,2.6539738178253174,2.6539385318756104,3.528594970703125e-05,50.0532,1.349699,1736
37,2.7053511142730713,2.7053146362304688,3.647804260253906e-05,51.3055,1.252284,1754
38,2.7305612564086914,2.730524778366089,3.647804260253906e-05,52.5669,1.261462,1760
39,2.6589059829711914,2.6588706970214844,3.528594970703125e-05,53.8934,1.326493,1748
40,2.677415370941162,2.677381992340088,3.337860107421875e-05,55.1315,1.238046,1718
41,2.7175259590148926,2.7174932956695557,3.266334533691406e-05,56.3717,1.240246,1748
