epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.577543e+01,1050.0,False,,5.391572e-01,-0.192034,0.191652,0.176525,0.255841,0.120908,-0.11132,-0.0931494,0.0984766,0.274012
1,3.324261e+00,2.577562e+01,1050.0,False,,5.392581e-01,-0.194034,0.193651,0.178524,0.253841,0.122907,-0.10932,-0.0912025,0.0996706,0.272092
2,4.130274e+00,2.577568e+01,1050.0,False,,5.399550e-01,-0.195481,0.194816,0.179747,0.252385,0.124506,-0.107925,-0.0903793,0.1001,0.272103
5,3.761410e+00,2.577543e+01,1050.0,False,,5.411832e-01,-0.197889,0.195672,0.180541,0.249946,0.1275,-0.105748,-0.0905942,0.0998289,0.273407
10,3.359485e+00,2.577544e+01,1050.0,False,,5.430011e-01,-0.205228,0.200899,0.185637,0.242509,0.135228,-0.098606,-0.088884,0.101409,0.270011
20,2.973454e+00,2.577521e+01,1050.0,False,,5.463101e-01,-0.220931,0.211053,0.194143,0.226258,0.150342,-0.0829832,-0.0894271,0.103224,0.260912
50,2.646477e+00,2.577456e+01,1050.0,False,,5.658216e-01,-0.27579,0.250347,0.220517,0.169916,0.197971,-0.0274621,-0.092469,0.107646,0.209373
100,2.487431e+00,2.577335e+01,1050.0,False,,6.759669e-01,-0.371824,0.323865,0.277314,0.0741348,0.286686,0.069274,-0.103099,0.115355,0.143061
200,2.372849e+00,2.577084e+01,1050.1,False,,1.021238e+00,-0.564101,0.462688,0.409402,-0.113098,0.476338,0.261979,-0.128351,0.13413,-0.0155517
500,2.279516e+00,2.576304e+01,1050.3,False,,2.269919e+00,-1.13916,0.84508,0.804155,-0.679779,1.03813,0.842171,-0.163433,0.211225,-0.416692
1000,2.240907e+00,2.574919e+01,1050.7,False,,4.358148e+00,-2.09367,1.47428,1.50083,-1.64457,1.97393,1.81482,-0.151943,0.335185,-0.392441
2000,2.211189e+00,2.572110e+01,1051.6,False,,8.737412e+00,-4.02827,2.82403,3.01901,-3.60404,3.87536,3.76495,-0.0467246,0.576906,0.713173
3000,2.196269e+00,2.569280e+01,1052.4,False,,1.337524e+01,-5.99014,4.31019,4.65271,-5.58306,5.80666,5.72586,0.109509,0.817149,2.10636
5000,2.176707e+00,2.563538e+01,1054.2,False,,2.278818e+01,-9.95404,7.47079,8.01936,-9.5613,9.70305,9.66988,0.505666,1.27901,4.37372
7500,2.146933e+00,2.556407e+01,1056.4,False,,3.436833e+01,-14.929,11.3335,12.0589,-14.5378,14.5464,14.5998,1.04444,1.82299,6.62795
10000,2.143057e+00,2.549437e+01,1058.5,False,,4.557608e+01,-19.9114,15.1612,15.9833,-19.5149,19.375,19.5265,1.61677,2.35652,7.05086
