epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,3.005825e+01,1050.0,False,,5.391571e+04,-19203.4,19165.2,17652.5,25584.1,12090.8,-11132,-9314.94,9847.67,27401.2
1,8.982660e+00,3.286346e+01,1050.0,False,,5.391571e+04,-19203.4,19165.2,17652.5,25584.1,12090.8,-11132,-9314.94,9847.67,27401.2
2,8.897439e+00,3.224726e+01,1050.0,False,,5.391571e+04,-19203.4,19165.2,17652.5,25584.1,12090.8,-11132,-9314.93,9847.67,27401.2
5,8.643705e+00,2.827464e+01,1093.0,False,,5.391571e+04,-19203.4,19165.2,17652.5,25584.1,12090.8,-11132,-9314.93,9847.67,27401.2
10,8.303034e+00,2.848449e+01,1148.8,False,,5.391572e+04,-19203.4,19165.2,17652.5,25584,12090.8,-11132,-9314.92,9847.67,27401.2
20,7.842967e+00,2.419372e+01,1339.5,True,0.000000e+00,5.391574e+04,-19203.4,19165.2,17652.5,25584,12090.8,-11132,-9314.9,9847.67,27401.2
50,6.923810e+00,1.726179e+01,1400.4,True,0.000000e+00,5.391579e+04,-19203.5,19165.3,17652.6,25584,12090.9,-11131.9,-9314.84,9847.67,27401.2
100,6.308206e+00,1.226872e+01,1545.2,True,0.000000e+00,5.391590e+04,-19203.6,19165.3,17652.7,25584.2,12091,-11131.7,-9314.79,9847.67,27401.1
200,5.529464e+00,7.562811e+00,1906.2,True,7.346939e-05,5.391623e+04,-19203.8,19165.4,17652.8,25584.4,12091.2,-11131.4,-9314.72,9847.67,27401.2
500,4.902737e+00,5.453006e+00,2105.7,True,4.897959e-05,5.391746e+04,-19204.4,19166,17653.4,25585,12091.8,-11130.8,-9314.72,9847.67,27401.9
1000,4.682025e+00,5.215023e+00,2062.4,True,7.346939e-05,5.391942e+04,-19205.3,19167,17654.4,25586,12092.8,-11129.8,-9314.56,9847.67,27402.9
2000,4.567051e+00,5.425937e+00,2024.1,True,9.795918e-05,5.392327e+04,-19207.3,19168.9,17656.4,25587.9,12094.7,-11127.9,-9313.74,9847.67,27404.9
3000,4.519380e+00,5.740309e+00,2009.3,True,1.102041e-04,5.392723e+04,-19209.2,19170.9,17658.3,25589.9,12096.7,-11125.9,-9313.59,9847.67,27406.8
5000,4.481895e+00,5.654496e+00,2033.8,True,1.346939e-04,5.393516e+04,-19213.1,19174.8,17662.2,25593.8,12100.6,-11122,-9313.47,9847.67,27410.7
7500,4.447521e+00,5.383188e+00,2042.2,True,1.346939e-04,5.394511e+04,-19218,19179.7,17667.1,25598.7,12105.5,-11117.1,-9313.41,9847.67,27415.6
10000,1.318851e+04,1.374725e+01,4857.4,True,2.448980e-04,5.394867e+04,-19220.2,19181.2,17668.3,25600.7,12106.4,-11114.9,-9313.57,9847.56,27417.8
