
==================== thermo_init_scaled_random_1e5_dir0_stage2_10000 ====================
epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.987070e+01,1050.0,False,,4.848271e+04,328.728,13783.3,2612.59,2784.38,4162.18,-26204.9,2619.61,23082.3,30037.1
1,9.221727e+00,2.926722e+01,1050.5,False,,4.848271e+04,328.726,13783.3,2612.6,2784.38,4162.18,-26204.9,2619.61,23082.3,30037.1
2,9.190122e+00,2.785124e+01,1057.0,False,,4.848270e+04,328.724,13783.3,2612.6,2784.38,4162.18,-26204.9,2619.61,23082.3,30037.1
5,9.042165e+00,2.625267e+01,1088.7,False,,4.848270e+04,328.718,13783.3,2612.6,2784.37,4162.17,-26204.9,2619.61,23082.3,30037.1
10,8.859927e+00,2.819436e+01,1073.1,False,,4.848270e+04,328.708,13783.3,2612.61,2784.36,4162.16,-26204.9,2619.62,23082.3,30037.1
20,8.545188e+00,2.494236e+01,1137.8,False,,4.848270e+04,328.686,13783.3,2612.64,2784.34,4162.16,-26204.9,2619.63,23082.3,30037.1
50,7.712111e+00,2.148440e+01,1242.1,True,0.000000e+00,4.848277e+04,328.613,13783.4,2612.7,2784.27,4162.23,-26204.9,2619.67,23082.3,30037.2
100,6.417957e+00,1.814887e+01,1410.0,True,0.000000e+00,4.848293e+04,328.472,13783.5,2612.82,2784.13,4162.4,-26205,2619.75,23082.3,30037.3
200,5.629252e+00,1.176326e+01,1918.1,True,0.000000e+00,4.848334e+04,328.206,13783.6,2612.96,2783.86,4162.69,-26205.3,2619.87,23082.3,30037.6
500,4.997368e+00,8.154621e+00,2137.4,True,0.000000e+00,4.848442e+04,327.549,13784.2,2613.38,2783.12,4163.35,-26205.9,2620.19,23082.3,30038.5
1000,4.450498e+00,5.392421e+00,2307.7,True,1.346939e-04,4.848627e+04,326.452,13785.1,2614.36,2782,4164.51,-26206.9,2620.81,23082.3,30040
2000,4.125124e+00,5.081854e+00,2326.9,True,1.469388e-04,4.848927e+04,324.273,13787.1,2616.3,2779.98,4166.47,-26208.8,2621.53,23082.3,30042
3000,4.014493e+00,4.994300e+00,2336.2,True,1.591837e-04,4.849220e+04,322.197,13788.7,2618.15,2778.22,4168.42,-26210.8,2622.25,23082.3,30043.9
5000,3.878469e+00,4.559442e+00,2314.7,True,1.591837e-04,4.849772e+04,318.194,13791,2621.68,2775,4172.33,-26214.7,2623.15,23082.3,30047.8
7500,3.794588e+00,3.900378e+00,2269.6,True,1.591837e-04,4.850449e+04,313.24,13793.5,2625.85,2771,4177.21,-26219.5,2623.52,23082.3,30052.7
10000,3.747347e+00,3.577698e+00,2229.6,True,1.469388e-04,4.851125e+04,308.281,13795.9,2630.14,2766.83,4182.09,-26224.4,2623.76,23082.3,30057.6

==================== thermo_init_scaled_random_normmatched_dir0_stage2_10000 ====================
epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.977989e+01,1050.0,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.67,14699.7,-92548.5,9251.73,81520.4,106083
1,9.489134e+00,2.839770e+01,1050.0,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.67,14699.7,-92548.5,9251.73,81520.4,106083
2,9.358365e+00,2.764268e+01,1066.8,False,,1.712274e+05,1160.97,48678.8,9226.96,9833.66,14699.7,-92548.5,9251.73,81520.4,106083
5,9.122000e+00,2.455818e+01,1147.0,False,,1.712274e+05,1160.96,48678.8,9226.97,9833.66,14699.7,-92548.5,9251.73,81520.4,106083
10,8.923493e+00,2.232381e+01,1225.3,True,0.000000e+00,1.712274e+05,1160.95,48678.8,9226.98,9833.65,14699.6,-92548.5,9251.73,81520.4,106083
