epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,3.062271e+00,2722.9,True,8.571429e-05,1.712274e+05,-8093.17,-170341,-12177,-561.727,-2670.95,8719.92,-990.885,2050.04,-606.41
1,1.774326e+00,1.864122e-01,2563.2,True,1.591837e-04,1.712274e+05,-8093.17,-170341,-12177,-561.725,-2670.95,8719.92,-990.887,2050.04,-606.412
2,2.626768e+00,6.254618e+00,2594.2,True,2.938776e-04,1.712274e+05,-8093.16,-170341,-12177,-561.723,-2670.95,8719.92,-990.888,2050.04,-606.413
5,1.949548e+00,2.638324e+00,2795.5,True,9.795918e-05,1.712274e+05,-8093.16,-170341,-12177,-561.717,-2670.96,8719.91,-990.887,2050.04,-606.418
10,2.765185e+00,1.939097e+00,2625.9,True,2.204082e-04,1.712274e+05,-8093.15,-170341,-12177,-561.707,-2670.97,8719.9,-990.888,2050.04,-606.426
20,1.336647e+00,3.195988e+00,2801.9,True,8.571429e-05,1.712274e+05,-8093.13,-170341,-12177,-561.689,-2670.98,8719.88,-990.882,2050.04,-606.442
50,1.090179e+00,3.049693e+00,2802.2,True,8.571429e-05,1.712274e+05,-8093.07,-170341,-12177,-561.634,-2671.03,8719.82,-990.878,2050.05,-606.48
100,6.017857e-01,8.770903e-01,2731.8,True,1.224490e-04,1.712274e+05,-8092.99,-170341,-12177.1,-561.554,-2671.11,8719.73,-990.88,2050.05,-606.52
200,4.358889e-01,4.293549e-01,2721.2,True,1.346939e-04,1.712274e+05,-8092.89,-170341,-12177.2,-561.459,-2671.21,8719.62,-990.865,2050.05,-606.595
500,3.877453e-01,2.982215e-01,2755.8,True,1.469388e-04,1.712274e+05,-8092.6,-170341,-12177.3,-561.167,-2671.51,8719.33,-990.86,2050.05,-606.693
1000,3.647855e-01,2.398251e-01,2776.3,True,1.469388e-04,1.712274e+05,-8092.05,-170341,-12177.3,-560.529,-2672.16,8718.84,-990.879,2050.05,-606.738
2000,3.434778e-01,1.753453e-01,2774.8,True,1.469388e-04,1.712273e+05,-8090.86,-170341,-12177.8,-559.154,-2673.71,8717.87,-990.939,2050.05,-606.752
3000,3.286860e-01,1.369554e-01,2766.6,True,1.469388e-04,1.712273e+05,-8089.64,-170341,-12178.3,-557.721,-2675.43,8716.89,-990.972,2050.05,-606.802
5000,3.023655e-01,1.032133e-01,2744.0,True,1.469388e-04,1.712272e+05,-8087.06,-170341,-12179.8,-554.727,-2678.96,8714.84,-991.055,2050.05,-606.833
7500,2.537912e-01,2.364722e-02,2706.3,True,1.469388e-04,1.712271e+05,-8084,-170341,-12182.3,-551.07,-2682,8712.16,-991.185,2050.02,-606.839
10000,2.366149e-01,2.518272e-02,2714.1,True,1.469388e-04,1.712270e+05,-8080.35,-170341,-12184.6,-547.486,-2684.89,8709.46,-991.296,2049.97,-606.816
