epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.577630e+01,1050.0,False,,4.848271e-01,0.00328728,0.137833,0.0261259,0.0278438,0.0416218,-0.262049,0.0261961,0.230823,0.300371
1,1.050933e+02,2.577535e+01,1050.0,False,,4.829483e-01,0.00528727,0.135833,0.024126,0.0298438,0.0396219,-0.264049,0.0241972,0.228865,0.29838
2,3.799846e+01,2.577421e+01,1050.0,False,,4.812139e-01,0.00698562,0.134143,0.02256,0.0314418,0.0383923,-0.265675,0.0226339,0.227113,0.296439
5,8.520825e+00,2.577380e+01,1050.0,False,,4.771591e-01,0.010905,0.130388,0.0189265,0.0351616,0.0348466,-0.269453,0.0192744,0.222981,0.291642
10,9.559547e+00,2.577370e+01,1050.0,False,,4.741071e-01,0.0146274,0.127012,0.0153458,0.03869,0.030972,-0.273079,0.0157359,0.22031,0.287025
20,1.026710e+01,2.577369e+01,1050.0,False,,4.738427e-01,0.0177233,0.124442,0.0116248,0.0414988,0.0266547,-0.276155,0.0106949,0.222516,0.283319
50,9.452832e+00,2.577382e+01,1050.0,False,,4.918000e-01,0.0181651,0.127752,0.0108676,0.0405365,0.0181043,-0.277029,-0.00577014,0.248301,0.291026
100,4.530686e+00,2.577459e+01,1050.0,False,,5.528131e-01,-0.00977365,0.194294,0.0937257,0.0016348,0.0574706,-0.249609,-0.0377465,0.311467,0.308099
200,3.411150e+00,2.577373e+01,1050.0,False,,6.582465e-01,-0.101502,0.284256,0.206544,-0.113997,0.27141,-0.147834,-0.00832829,0.349956,0.261671
500,3.010387e+00,2.576846e+01,1050.2,False,,1.514367e+00,-0.473151,0.498657,0.500502,-0.553765,0.881019,0.281297,0.148188,0.455101,-0.423342
1000,2.600246e+00,2.575640e+01,1050.5,False,,3.631205e+00,-1.24067,0.985542,1.09909,-1.41064,1.88802,1.12984,0.461527,0.690876,-1.39488
2000,2.384534e+00,2.573169e+01,1051.3,False,,7.762238e+00,-2.82777,2.00135,2.34435,-3.15993,3.80063,2.83803,0.971856,1.05803,-2.86467
3000,2.271850e+00,2.570489e+01,1052.1,False,,1.168896e+01,-4.61712,3.31437,3.79045,-5.02322,5.71879,4.67327,1.53333,1.34459,-2.45471
5000,2.191663e+00,2.564983e+01,1053.7,False,,2.048555e+01,-8.41796,6.59956,7.09158,-8.86166,9.56062,8.48305,2.45712,1.74973,-1.98884
7500,2.166348e+00,2.558079e+01,1055.8,False,,3.214003e+01,-13.3079,10.9311,11.8594,-13.7898,14.4804,13.3743,3.03484,2.14703,-1.79345
10000,2.127238e+00,2.551019e+01,1058.0,False,,4.397495e+01,-18.2778,15.2263,16.7857,-18.7719,19.4617,18.3325,3.51684,2.49708,-0.539946
