arm,budget,note,test_mse_OFF,test_mse_ON,ratio_ON_over_OFF,train_peakE_OFF,train_peakE_ON,held_peakE_OFF,held_peakE_ON,gate_both_OFF,gate_both_ON
default random,500,base-OFF 500 cell absent,,,,,,,,,
default random,10000,,3.1555752754211426,3.1461219787597656,0.9970042556946719,-1611.7100442263659,-1611.2117532107409,-1601.986296305125,-1601.6680590004376,False,False
Cantera init,500,,0.4093235731124878,0.34756043553352356,0.8491092582102745,86.07474581269662,-0.6877053591783806,289.58047615581245,165.53604256206245,False,False
Cantera init,10000,,0.23808391392230988,10.069067001342773,42.292092882127484,44.37674776582162,1215.7483297970716,267.54873787456245,1547.8990796714374,False,False
random x1e5 dir0,500,,8.121742248535156,8.4320707321167,1.0382095951933852,-532.3090432498034,-563.9711526248034,-572.8682543129376,-726.3069750160626,False,False
random x1e5 dir0,10000,,6.597650527954102,11482.90234375,1740.453256063987,-440.1108010623034,2187.7236715939466,-436.86337150043755,1726.6559156089374,False,False
norm-matched dir0,500,,7.683845520019531,7.365013122558594,0.9585061416669232,-73.33736356230338,41.73172823457162,-51.09481681293755,-137.75277579731255,False,False
norm-matched dir0,10000,,5.399553298950195,25.852977752685547,4.787984546372011,-240.90206082792838,-1174.4164651248034,-141.79110587543755,-1166.901335367625,False,False
norm-matched dir1,500,,0.2937433421611786,1.3767613172531128,4.686953267174567,-68.61934598417838,173.75345675019662,154.05239998393745,93.24429451518745,False,False
norm-matched dir1,10000,,0.20708340406417847,0.20879463851451874,1.0082635035775727,-62.86470731230338,-112.83418973417838,43.36782967143745,-7.119230875437552,True,False
norm-matched dir2,500,,7.26892614364624,25.082103729248047,3.450592733174526,262.7143942501966,3663.5693747189466,525.2455152183124,3692.3331617026874,False,False
norm-matched dir2,10000,,3.9028797149658203,41.20850372314453,10.558486741245988,183.29203096894662,4902.221230187697,342.63858162456245,5084.564607015187,False,False
