run,initialization,condition,T0_K,phi,initial_T_K,peak_T_K,reference_peak_T_K,peak_error_K,ignition_delay_s,reference_ignition_delay_s,ignition_delay_relative_error,ignition_delay_s_dense,ignition_delay_relative_error_dense,reference_ignition_delay_s_dense,min_T_K,min_T_K_dense,final_T_K,reference_final_T_K,thermo_linear_norm,checkpoint
thermo_init_random_stage2_10000_seed0,random (default),training,1050,0.9,1050.0,1058.0,2669.7,-1611.7,,1.469388e-04,,,,1.419071e-04,1050.0,1050.0,1058.0,2669.7,4.397495e+01,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_random_stage2_10000_seed0/checkpoint_final.pt
thermo_init_random_stage2_10000_seed0,random (default),held-out,1150,1.3,1150.0,1159.6,2761.6,-1602.0,,7.346939e-05,,,,6.312316e-05,1150.0,1150.0,1159.6,2761.6,4.397495e+01,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_random_stage2_10000_seed0/checkpoint_final.pt
thermo_init_cantera_500_ref1050_phi05_seed0,cantera (ref 1050 K / phi 0.5),training,1050,0.9,1050.0,2755.8,2669.7,86.1,1.469388e-04,1.469388e-04,0.0000,1.523176e-04,0.0734,1.419071e-04,1049.5,1049.4,2755.8,2669.7,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_cantera_500_ref1050_phi05_seed0/checkpoint_final.pt
thermo_init_cantera_500_ref1050_phi05_seed0,cantera (ref 1050 K / phi 0.5),held-out,1150,1.3,1150.0,3051.2,2761.6,289.6,7.346939e-05,7.346939e-05,0.0000,7.314366e-05,0.1587,6.312316e-05,1150.0,1150.0,3051.2,2761.6,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_cantera_500_ref1050_phi05_seed0/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir0,"scaled-random norm-matched, dir seed 0",training,1050,0.9,1050.0,2596.4,2669.7,-73.3,0.000000e+00,1.469388e-04,-1.0000,8.940447e-06,-0.9370,1.419071e-04,1050.0,1050.0,2596.4,2669.7,1.712275e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir0/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir0,"scaled-random norm-matched, dir seed 0",held-out,1150,1.3,1150.0,2710.5,2761.6,-51.1,0.000000e+00,7.346939e-05,-1.0000,4.380219e-06,-0.9306,6.312316e-05,1150.0,1150.0,2710.5,2761.6,1.712275e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir0/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir1,"scaled-random norm-matched, dir seed 1",training,1050,0.9,1050.0,2601.1,2669.7,-68.6,1.591837e-04,1.469388e-04,0.0833,1.572979e-04,0.1085,1.419071e-04,1049.5,1049.2,2601.1,2669.7,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir1/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir1,"scaled-random norm-matched, dir seed 1",held-out,1150,1.3,1150.0,2915.6,2761.6,154.1,8.571429e-05,7.346939e-05,0.1667,8.514426e-05,0.3489,6.312316e-05,1150.0,1150.0,2915.6,2761.6,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir1/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir2,"scaled-random norm-matched, dir seed 2",training,1050,0.9,1050.0,2932.4,2669.7,262.7,9.795918e-05,1.469388e-04,-0.3333,9.744487e-05,-0.3133,1.419071e-04,1024.7,1024.4,2932.4,2669.7,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir2/checkpoint_final.pt
thermo_init_scaled_random_normmatched_dir2,"scaled-random norm-matched, dir seed 2",held-out,1150,1.3,1150.0,3286.8,2761.6,525.2,4.897959e-05,7.346939e-05,-0.3333,4.791240e-05,-0.2410,6.312316e-05,1146.2,1146.2,3286.8,2761.6,1.712274e+05,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_normmatched_dir2/checkpoint_final.pt
thermo_init_scaled_random_1e4_dir0,"scaled-random x1e4, dir seed 0",training,1050,0.9,1050.0,1050.0,2669.7,-1619.7,,1.469388e-04,,,,1.419071e-04,737.1,737.1,764.6,2669.7,4.849182e+03,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e4_dir0/checkpoint_final.pt
thermo_init_scaled_random_1e4_dir0,"scaled-random x1e4, dir seed 0",held-out,1150,1.3,1150.0,1150.0,2761.6,-1611.6,,7.346939e-05,,,,6.312316e-05,737.6,737.6,782.1,2761.6,4.849182e+03,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e4_dir0/checkpoint_final.pt
thermo_init_scaled_random_1e5_dir0,"scaled-random x1e5, dir seed 0",training,1050,0.9,1050.0,2137.4,2669.7,-532.3,0.000000e+00,1.469388e-04,-1.0000,0.000000e+00,-1.0000,1.419071e-04,1049.2,1046.8,2137.4,2669.7,4.848442e+04,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e5_dir0/checkpoint_final.pt
thermo_init_scaled_random_1e5_dir0,"scaled-random x1e5, dir seed 0",held-out,1150,1.3,1150.0,2188.7,2761.6,-572.9,2.081633e-04,7.346939e-05,1.8333,1.781789e-04,1.8227,6.312316e-05,1022.0,1020.1,2188.7,2761.6,4.848442e+04,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e5_dir0/checkpoint_final.pt
