epoch,total_loss,mse_loss,elapsed_seconds
0,6.270089149475098,6.270089149475098,0.3071
1,6.246729373931885,6.246729373931885,0.3095
2,6.223488807678223,6.223488807678223,0.3106
3,6.200371742248535,6.200371742248535,0.3117
4,6.177371501922607,6.177371501922607,0.3128
5,6.1544904708862305,6.1544904708862305,0.3138
6,6.131725311279297,6.131725311279297,0.3148
7,6.109073638916016,6.109073638916016,0.3164
8,6.08653450012207,6.08653450012207,0.3176
9,6.0641021728515625,6.0641021728515625,0.3188
10,6.041775703430176,6.041775703430176,0.32
11,6.019547939300537,6.019547939300537,0.3212
12,5.997415065765381,5.997415065765381,0.3223
13,5.975373268127441,5.975373268127441,0.3233
14,5.953415870666504,5.953415870666504,0.3244
15,5.931540489196777,5.931540489196777,0.3254
16,5.9097394943237305,5.9097394943237305,0.3265
17,5.888007640838623,5.888007640838623,0.3275
18,5.866339683532715,5.866339683532715,0.3285
19,5.844735145568848,5.844735145568848,0.3296
20,5.823187351226807,5.823187351226807,0.3306
21,5.801695823669434,5.801695823669434,0.3316
22,5.780257225036621,5.780257225036621,0.3327
23,5.7588701248168945,5.7588701248168945,0.3337
24,5.7375335693359375,5.7375335693359375,0.3347
25,5.716244697570801,5.716244697570801,0.3358
26,5.695000648498535,5.695000648498535,0.3368
27,5.673801422119141,5.673801422119141,0.3378
28,5.652642250061035,5.652642250061035,0.3388
29,5.631525039672852,5.631525039672852,0.3399
30,5.610454082489014,5.610454082489014,0.3409
31,5.589423179626465,5.589423179626465,0.3419
32,5.5684309005737305,5.5684309005737305,0.3429
33,5.5474724769592285,5.5474724769592285,0.344
34,5.526543617248535,5.526543617248535,0.345
35,5.505641937255859,5.505641937255859,0.346
36,5.484771728515625,5.484771728515625,0.347
37,5.463923454284668,5.463923454284668,0.348
38,5.443094730377197,5.443094730377197,0.3491
39,5.422281265258789,5.422281265258789,0.3501
40,5.401480674743652,5.401480674743652,0.3512
41,5.380691051483154,5.380691051483154,0.3522
42,5.359906196594238,5.359906196594238,0.3532
43,5.339123725891113,5.339123725891113,0.3542
44,5.318337917327881,5.318337917327881,0.3552
45,5.297545433044434,5.297545433044434,0.3562
46,5.276742458343506,5.276742458343506,0.3573
47,5.255924224853516,5.255924224853516,0.3583
48,5.235085487365723,5.235085487365723,0.3593
49,5.214221000671387,5.214221000671387,0.3603
50,5.193325996398926,5.193325996398926,0.3613
51,5.172396183013916,5.172396183013916,0.3623
52,5.151425361633301,5.151425361633301,0.3634
53,5.130404472351074,5.130404472351074,0.3644
54,5.1093244552612305,5.1093244552612305,0.3654
