model,width,noise_percent,epochs,parameters,n_mu,architecture_version,reused,training_seconds,checkpoint,checkpoint_sha256,verified
DeepONet,8,0,10000,340,,reference_final_trunk_relu,False,7.9781,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0/checkpoint_final.pt,695f4547404576c065f8ad0e405aacd9f1f799efcc65b5a97f5f6c76a0f261e7,True
DeepONet,8,1,10000,340,,reference_final_trunk_relu,False,6.2679,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise01_seed0/checkpoint_final.pt,144a32029287ce837d91598dcef228b33646d5837e40faaa1440be75a2f89096,True
DeepONet,8,2,10000,340,,reference_final_trunk_relu,False,6.9389,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise02_seed0/checkpoint_final.pt,8fa7bf6132aefe18ddbd6f65ac29bcf4ea5b828e17bc8f7e2f4624757e9e047b,True
DeepONet,8,3,10000,340,,reference_final_trunk_relu,False,7.4967,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise03_seed0/checkpoint_final.pt,981bbfb65d344b12f550ace8ff0946556e96d2a2f92f580cac9961762ea80df4,True
DeepONet,8,5,10000,340,,reference_final_trunk_relu,False,12.4676,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise05_seed0/checkpoint_final.pt,49db2772d6c4e0037cc595462fd66f393dc4be7db44e0a8d119d201ba0b606d7,True
DeepONet,8,7,10000,340,,reference_final_trunk_relu,False,22.6194,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise07_seed0/checkpoint_final.pt,b695bf0a09acfa3dd1be1e9aa4928a5311d12e92bdb0b61ee70d2078998aa419,True
DeepONet,8,10,10000,340,,reference_final_trunk_relu,False,41.9855,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise10_seed0/checkpoint_final.pt,9db07083c7245705ab6d459548203d4d87e3cd98b2a5718c0460bb3694740903,True
DeepONet,8,15,10000,340,,reference_final_trunk_relu,False,29.9986,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise15_seed0/checkpoint_final.pt,eaa95c9ad1046eb910b3d6cd6da428d423598b36bfcb21cf3573e1ef5ccf0b71,True
DeepONet,3,,50000,85,,reference_final_trunk_relu,False,68.4272,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w03_seed0/checkpoint_final.pt,d9e0d6e64bb32b181a015c3e7c3f8705975d48018dea501cdced2dce7253bd56,True
DeepONet,5,,50000,169,,reference_final_trunk_relu,False,59.0355,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w05_seed0/checkpoint_final.pt,3bb504d8ccd23aae232a0934d7c4c6b32174496640cd156aefa71f0decbbef4f,True
DeepONet,6,,50000,220,,reference_final_trunk_relu,False,102.0646,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w06_seed0/checkpoint_final.pt,22d463ddfc50aa36c6c08d7eaf9ac1361d9b010a81e6b7975944b7dcd7a4a364,True
DeepONet,8,,50000,340,,reference_final_trunk_relu,False,50.5454,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w08_seed0/checkpoint_final.pt,980fb74e967de4f014a3ebaaef1be8f38054ba9577e98c4f9519161ded2879f1,True
DeepONet,10,,50000,484,,reference_final_trunk_relu,False,29.5206,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w10_seed0/checkpoint_final.pt,40a2b3b3b3fd2154041420331dc3db857c13459aca7ebfa8c71695fb69e17fb8,True
DeepONet,13,,50000,745,,reference_final_trunk_relu,False,30.2481,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/scaling/w13_seed0/checkpoint_final.pt,c5ed9342dc6259c956305eb295d1147add05c21b03169add036633b78ea2db9a,True
ChemKAN,2,,5000,78,2,,False,319.5849,results/reproduction/chemkan/biodiesel/scaling_nmu2/h02_seed0/checkpoint_final.pt,fe32abd44b3dcfbd6f55cc26c05d049739bc617a591b6d99575728454ae48a36,True
ChemKAN,3,,5000,117,2,,True,222.1944,results/reproduction/chemkan/biodiesel/scaling/h03_seed0/checkpoint_final.pt,2a18ae1d663a90ca596509adbf4e72a15123dedcb05d9bfbbccebfe1222a488a,True
ChemKAN,4,,5000,156,2,,True,310.5822,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/checkpoint_epoch_5000.pt,3b22b86425830cdfc3b5c622c551cc959d4dbb7fa3851149e7d1f5b31fc050dc,True
ChemKAN,10,,5000,390,2,,False,473.078,results/reproduction/chemkan/biodiesel/scaling_nmu2/h10_seed0/checkpoint_final.pt,3dc08a134a7c15411ced7269c46cf2f3b1459230021e95dae9f790b36b8150f1,True
ChemKAN,17,,5000,663,2,,False,354.044,results/reproduction/chemkan/biodiesel/scaling_nmu2/h17_seed0/checkpoint_final.pt,7da1deff602ff869ea0aa66c621227a7f881e30a746344730a5873d937e6144a,True
