model,noise_percent,role,run_dir,train_mse_noisy,test_mse_noisy,test_mse_clean,train_mse_noisy_timeavg,test_mse_noisy_timeavg,test_mse_clean_timeavg
ChemKAN,0,plotted,results/reproduction/chemkan/biodiesel/main/direct_autograd_seed0,0.062016528099775314,0.08140052855014801,0.08140052855014801,0.002067217603325844,0.0027133509516716003,0.0027133509516716003
DeepONet,0,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise00_seed0,0.13009336590766907,0.21053528785705566,0.21053528785705566,0.004336445530255636,0.007017842928568522,0.007017842928568522
ChemKAN,1,plotted,results/reproduction/chemkan/biodiesel/noise/noise01_seed0,0.03158406540751457,0.0690363347530365,0.06885488331317902,0.0010528021802504858,0.00230121115843455,0.002295162777105967
DeepONet,1,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise01_seed0,0.13090775907039642,0.2174396812915802,0.21676568686962128,0.004363591969013214,0.007247989376386006,0.007225522895654043
ChemKAN,2,plotted,results/reproduction/chemkan/biodiesel/noise/noise02_seed0,0.03385623171925545,0.07036580890417099,0.06867881119251251,0.001128541057308515,0.0023455269634723662,0.0022892937064170837
DeepONet,2,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise02_seed0,0.13202637434005737,0.20913708209991455,0.20695118606090546,0.004400879144668579,0.006971236069997152,0.006898372868696849
ChemKAN,3,plotted,results/reproduction/chemkan/biodiesel/noise/noise03_seed0,0.04715109243988991,0.07913140952587128,0.07065080851316452,0.0015717030813296635,0.002637713650862376,0.002355026950438817
DeepONet,3,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise03_seed0,0.1367821991443634,0.19547174870967865,0.1855965256690979,0.004559406638145446,0.006515724956989289,0.006186550855636597
ChemKAN,5,plotted,results/reproduction/chemkan/biodiesel/noise/noise05_seed0,0.048136744648218155,0.09069150686264038,0.07010368257761002,0.0016045581549406051,0.0030230502287546795,0.002336789419253667
DeepONet,5,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise05_seed0,0.14578330516815186,0.2101229727268219,0.19445522129535675,0.004859443505605062,0.007004099090894064,0.006481840709845225
ChemKAN,7,plotted,results/reproduction/chemkan/biodiesel/noise/noise07_seed0,0.06272152811288834,0.10240606963634491,0.07068026810884476,0.0020907176037629443,0.0034135356545448303,0.002356008936961492
DeepONet,7,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise07_seed0,0.1610342115163803,0.25385037064552307,0.2246430367231369,0.005367807050546011,0.008461679021517435,0.0074881012241045635
ChemKAN,10,plotted,results/reproduction/chemkan/biodiesel/noise/noise10_seed0,0.09555833041667938,0.14160993695259094,0.06760521233081818,0.0031852776805559794,0.004720331231753031,0.002253507077693939
DeepONet,10,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise10_seed0,0.19286684691905975,0.2710914611816406,0.1952211856842041,0.0064288948973019915,0.009036382039388021,0.006507372856140137
ChemKAN,15,plotted,results/reproduction/chemkan/biodiesel/noise/noise15_seed0,0.17236867547035217,0.20109376311302185,0.062276601791381836,0.005745622515678406,0.006703125437100729,0.0020758867263793944
DeepONet,15,plotted,results/reproduction/baselines/deeponet/biodiesel/noise/noise15_seed0,0.27398115396499634,0.36654001474380493,0.21358057856559753,0.009132705132166545,0.012218000491460164,0.007119352618853251
ChemKAN,0,fig5b_history_replay (not plotted in 5A),results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0,0.062016528099775314,0.08140052855014801,0.08140052855014801,0.002067217603325844,0.0027133509516716003,0.0027133509516716003
