epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,2.428348e+01,3183.3,True,5.632653e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
1,5.616135e+00,1.884425e+01,3470.5,True,5.142857e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
2,4.847845e+00,1.589734e+01,3542.7,True,4.653061e-04,1.712275e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
5,4.302164e+00,1.177377e+01,3604.6,True,3.551020e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
10,3.448298e+00,9.486894e+00,3570.6,True,2.816327e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
20,4.513998e+00,8.448910e+00,3349.1,True,3.428571e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.3
50,3.079185e+00,5.030086e+00,3050.7,True,2.816327e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.6,-106649,67937.8,-23305.2,57632.1,15748.2
100,1.911931e+00,2.036424e+00,2997.1,True,1.959184e-04,1.712274e+05,58370.6,-50000.7,-21961.2,53171.5,-106649,67937.8,-23305.2,57632.1,15748.2
200,1.091135e+01,2.451150e+01,1108.7,False,,1.712274e+05,58370.6,-50000.7,-21961.3,53171.5,-106649,67937.8,-23305.2,57632.1,15748.4
500,1.409903e+00,2.679280e+00,2843.5,True,2.448980e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
1000,9.010944e-01,4.646957e-01,2664.8,True,1.836735e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
2000,7.093170e-01,5.352307e-01,2580.0,True,1.836735e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
3000,4.458847e-01,3.910569e-01,2564.2,True,1.714286e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
5000,3.902921e-01,4.109201e-01,2526.6,True,1.836735e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
7500,3.134665e-01,2.067168e-01,2523.6,True,1.714286e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.5
10000,3.354812e-01,1.400287e-01,2556.9,True,1.714286e-04,1.712274e+05,58370.6,-50000.7,-21961.3,53171.4,-106649,67937.8,-23305.2,57632.1,15748.4
