epoch,stage2_loss,temperature_MSE,peak_T_K,ignites,ignition_delay_s,thermo_linear_norm,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2
0,,3.110178e+01,1050.0,False,,4.848271e+03,32.8728,1378.33,261.259,278.438,416.218,-2620.49,261.961,2308.23,3003.71
1,8.943464e+00,2.878601e+01,1050.1,False,,4.848269e+03,32.8748,1378.33,261.257,278.44,416.216,-2620.49,261.959,2308.23,3003.71
2,7.045913e+00,2.858102e+01,1050.3,False,,4.848268e+03,32.876,1378.33,261.256,278.442,416.215,-2620.5,261.958,2308.23,3003.71
5,7.424008e+00,2.944930e+01,1050.0,False,,4.848267e+03,32.8776,1378.33,261.256,278.443,416.213,-2620.5,261.955,2308.23,3003.71
10,6.585091e+00,3.064704e+01,1050.0,False,,4.848269e+03,32.8771,1378.33,261.259,278.443,416.212,-2620.5,261.953,2308.23,3003.71
20,5.571307e+00,3.568539e+01,1050.0,False,,4.848269e+03,32.8716,1378.34,261.271,278.438,416.217,-2620.49,261.953,2308.23,3003.7
50,5.029633e+00,3.475866e+01,1050.0,False,,4.848255e+03,32.8407,1378.38,261.313,278.409,416.253,-2620.46,261.962,2308.25,3003.67
100,4.748484e+00,3.486227e+01,1050.0,False,,4.848252e+03,32.7702,1378.45,261.382,278.335,416.338,-2620.4,261.985,2308.26,3003.67
200,4.508926e+00,3.496672e+01,1050.0,False,,4.848412e+03,32.612,1378.59,261.514,278.16,416.523,-2620.25,262.032,2308.29,3003.95
500,3.822991e+00,3.705814e+01,1050.0,False,,4.849182e+03,32.0409,1379.06,261.934,277.576,417.133,-2619.75,262.234,2308.43,3005.23
