arm,label,interpretation,budget,available,checkpoint,train_mse,test_mse,train_dominant_state,train_dominant_share,train_T_share,train_negative_species_frac,train_T_min_K,train_T_max_K,thermo_norm,arch,n_params,train_peak_T_K,train_ref_peak_T_K,train_peak_error_K,train_cools_below_T0,train_delay_dense_ms,train_ref_delay_dense_ms,train_delay_error_pct,train_gate,held_peak_T_K,held_ref_peak_T_K,held_peak_error_K,held_T_min_K,held_cools_below_T0,held_delay_dense_ms,held_ref_delay_dense_ms,held_delay_error_pct,held_gate,gate_both,wall_hours,median_s_per_epoch,median_nfe,stability_min_loss,stability_min_epoch,stability_final_loss,stability_final_over_min,stability_stable,probe_loss_at_500,probe_loss_at_10000,coeff_H2,coeff_H,coeff_O,coeff_O2,coeff_OH,coeff_H2O,coeff_HO2,coeff_H2O2,coeff_N2,eq18_H2,eq18_H,eq18_O,eq18_O2,eq18_OH,eq18_H2O,eq18_HO2,eq18_H2O2,eq18_N2,eq18_T
random,default random,base-OFF (N=5),500,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random,default random,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_random_stage2_10000_seed0/checkpoint_final.pt,2.1227407455444336,3.1555752754211426,T,0.8803328275680542,0.8803328275680542,0.12,1049.9998779296875,1209.7840576171875,43.97494888305664,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,1058.0076904296875,2669.7177346560534,-1611.7100442263659,False,,0.14190709535476773,,False,1159.5980224609375,2761.5843187660626,-1601.986296305125,1150.0,False,,0.06312315615780789,,False,False,1.186388888888889,0.4097999999999047,,2.1227569580078125,9998.0,2.1272377967834473,1.002110858126613,True,3.010387,2.127238,-18.277755737304688,15.226312637329102,16.78569984436035,-18.77187156677246,19.461732864379883,18.332544326782227,3.5168373584747314,2.4970812797546387,-0.5399456024169922,0.11028549075126648,0.41035985946655273,0.2914573848247528,0.16680558025836945,0.2676387429237366,0.14792098104953766,0.8152511119842529,0.33044931292533875,5.593385503743775e-05,18.687185287475586
random,default random,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_stage2_epoch_500.pt,2.2827484607696533,3.2875332832336426,T,0.827437162399292,0.827437162399292,0.08996825396825398,1049.9986572265625,1200.3936767578125,2.26991868019104,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,1050.3277587890625,2669.7177346560534,-1619.3899758669909,False,,0.14190709535476773,,False,1150.38818359375,2761.5843187660626,-1611.1961351723126,1149.9989013671875,False,,0.06312315615780789,,False,False,,,,,,,,,2.279516,2.143057,-1.1391555070877075,0.845079779624939,0.804155170917511,-0.6797788739204407,1.038132905960083,0.8421712517738342,-0.1634325385093689,0.2112247794866562,-0.4166921079158783,0.18069201707839966,0.46289166808128357,0.4829665720462799,0.3185090124607086,0.3956824243068695,0.26170676946640015,1.3073893785476685,0.5215272307395935,0.007810703478753567,18.8883056640625
random,default random,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/random_stage2_10000_seed0/checkpoint_final.pt,2.1393826007843018,3.1461219787597656,T,0.873001217842102,0.873001217842102,0.06374603174603174,1049.9979248046875,1210.0704345703125,45.57607650756836,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,1058.5059814453125,2669.7177346560534,-1611.2117532107409,False,,0.14190709535476773,,False,1159.916259765625,2761.5843187660626,-1601.6680590004376,1150.0,False,,0.06312315615780789,,False,False,8.758055555555556,3.1564500000004045,4205.0,2.129262208938598,9914.0,2.143056631088257,1.0064784985577397,True,2.279516,2.143057,-19.91136932373047,15.161224365234375,15.983264923095703,-19.514869689941406,19.375024795532227,19.526527404785156,1.6167670488357544,2.3565189838409424,7.050856113433838,0.1113334372639656,0.2568221092224121,0.29644227027893066,0.17918705940246582,0.23823130130767822,0.19268101453781128,0.9999299049377441,0.4368302822113037,0.005533040501177311,18.676834106445312
cantera,Cantera init,base-OFF (N=5),500,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_cantera_500_ref1050_phi05_seed0/checkpoint_final.pt,0.38758936524391174,0.4093235731124878,HO2,0.24768154323101044,0.08466591686010361,0.15644444444444444,1049.4072265625,3082.594482421875,171227.421875,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2755.79248046875,2669.7177346560534,86.07474581269662,False,0.152317615880794,0.14190709535476773,7.336152219873138,True,3051.164794921875,2761.5843187660626,289.58047615581245,1150.0,False,0.07314365718285913,0.06312315615780789,15.874524714828881,False,False,,,,,,,,,0.3877453,,-8092.59716796875,-170340.890625,-12177.3291015625,-561.1673583984375,-2671.5146484375,8719.3310546875,-990.8599853515625,2050.046142578125,-606.6929931640625,0.1730373054742813,0.4729825258255005,0.5585262179374695,0.21361026167869568,0.4012174904346466,0.3906022012233734,0.959987223148346,0.3773535192012787,0.0004207642050459981,0.328156054019928
cantera,Cantera init,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_cantera_stage2_10000_seed0/checkpoint_final.pt,0.2368447482585907,0.23808391392230988,HO2,0.2887920141220093,0.08568502217531204,0.12,1043.289306640625,3100.63330078125,171227.015625,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2714.094482421875,2669.7177346560534,44.37674776582162,True,0.13818690934546723,0.14190709535476773,-2.621564482029616,True,3029.133056640625,2761.5843187660626,267.54873787456245,1134.2679443359375,True,0.051602580129006446,0.06312315615780789,-18.250950570342212,False,False,1.695,0.5961500000000797,,0.2309044301509857,9913.0,0.2366148680448532,1.0247307420222884,True,0.3877453,0.2366149,-8080.34619140625,-170340.890625,-12184.6474609375,-547.4859008789062,-2684.89453125,8709.462890625,-991.295654296875,2049.968994140625,-606.8164672851562,0.10368610173463821,0.27619630098342896,0.2471044510602951,0.11037955433130264,0.1423492282629013,0.2936815619468689,0.6839888095855713,0.30808812379837036,3.308224768261425e-05,0.20294050872325897
cantera,Cantera init,base-ON (N=4),500,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/cantera_stage2_10000_seed0/checkpoint_stage2_epoch_500.pt,0.4558720290660858,0.34756043553352356,HO2,0.2814085781574249,0.07988051325082779,0.1027936507936508,1050.0,2975.343994140625,171227.390625,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,2669.030029296875,2669.7177346560534,-0.6877053591783806,False,0.1513575678783939,0.14190709535476773,6.659619450317117,True,2927.120361328125,2761.5843187660626,165.53604256206245,1150.0,False,0.06798339916995849,0.06312315615780789,7.69961977186312,False,False,,,,,,,,,0.4599458,19.68059,-8092.748046875,-170340.890625,-12176.986328125,-561.2731323242188,-2671.23876953125,8719.4375,-990.8787231445312,2050.05078125,-606.6224365234375,0.19669847190380096,0.4472920894622803,0.4561208486557007,0.3354128301143646,0.3466181457042694,0.5933254957199097,1.282862901687622,0.5256987810134888,0.010537726804614067,0.3641529083251953
cantera,Cantera init,base-ON (N=4),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/base_on_n4/cantera_stage2_10000_seed0/checkpoint_final.pt,19.691102981567383,10.069067001342773,T,0.2259860783815384,0.2259860783815384,0.2728253968253968,1050.0,4573.2255859375,171227.140625,"{'hidden_dim': 3, 'num_basis': 4, 'n_mu': 3, 'use_base_act': True}",344.0,3885.466064453125,2669.7177346560534,1215.7483297970716,False,0.1287964398219911,0.14190709535476773,-9.238900634249479,False,4309.4833984375,2761.5843187660626,1547.8990796714374,1150.0,False,0.1551977598879944,0.06312315615780789,145.86501901140682,False,False,2.6394444444444445,0.6628500000001623,860.0,0.3620894253253937,3041.0,19.680593490600582,54.352853505496626,False,0.4599458,19.68059,-8089.39990234375,-170340.890625,-12176.94140625,-558.694580078125,-2672.916748046875,8716.9970703125,-990.8607788085938,2050.113037109375,-607.7940673828125,26.441814422607422,7.999610900878906,1.819605827331543,38.59441375732422,14.243311882019043,32.83046340942383,2.4968044757843018,23.771615982055664,4.214248180389404,44.499149322509766
x1e5,random x1e5 dir0,base-OFF (N=5),500,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e5_dir0/checkpoint_final.pt,4.991178512573242,8.121742248535156,H2O,0.5577459335327148,0.16032423079013824,0.20673015873015874,1046.802978515625,2209.320556640625,48484.41796875,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2137.40869140625,2669.7177346560534,-532.3090432498034,True,0.0,0.14190709535476773,-100.0,False,2188.716064453125,2761.5843187660626,-572.8682543129376,1020.1497802734375,True,0.17817890894544725,0.06312315615780789,182.2718631178707,False,False,,,,,,,,,4.997368,,327.5487976074219,13784.1533203125,2613.3828125,2783.122314453125,4163.34716796875,-26205.876953125,2620.19384765625,23082.328125,30038.515625,2.262592315673828,0.7487055659294128,1.183976411819458,5.366647720336914,2.0007452964782715,27.838102340698242,1.4520282745361328,0.8241026401519775,0.23282083868980408,8.002070426940918
x1e5,random x1e5 dir0,base-OFF (N=5),10000,True,results/reproduction/chemkan/hydrogen/diagnostics/thermo_init_scaled_random_1e5_dir0_stage2_10000/checkpoint_final.pt,3.7567434310913086,6.597650527954102,H2O,0.8323204517364502,0.08001900464296341,0.277015873015873,739.81396484375,2450.4443359375,48511.25,"{'hidden_dim': 3, 'num_basis': 5, 'n_mu': 3, 'use_base_act': False}",344.0,2229.60693359375,2669.7177346560534,-440.1108010623034,True,0.159997999899995,0.14190709535476773,12.748414376321346,False,2324.720947265625,2761.5843187660626,-436.86337150043755,822.9358520507812,True,0.08127406370318516,0.06312315615780789,28.754752851711018,False,False,3.223333333333333,1.2608000000000175,,3.7462925910949703,9986.0,3.747347354888916,1.0002815486960237,True,4.997368,3.747347,308.28131103515625,13795.93359375,2630.1376953125,2766.827880859375,4182.087890625,-26224.4140625,2623.760498046875,23082.328125,30057.578125,0.1206933856010437,0.39847439527511597,0.418888658285141,0.9178187847137451,0.36511722207069397,31.268146514892578,0.47034361958503723,0.24394233524799347,0.35790205001831055,3.0061087608337402
