model,noise_percent,role,run_dir,train_mse_noisy,test_mse_noisy,test_mse_clean,train_mse_noisy_timeavg,test_mse_noisy_timeavg,test_mse_clean_timeavg,architecture_version
ChemKAN,0,plotted,results/reproduction/chemkan/biodiesel/main/direct_autograd_seed0,0.062016528099775314,0.08140052855014801,0.08140052855014801,0.002067217603325844,0.0027133509516716003,0.0027133509516716003,
DeepONet,0,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise00_seed0,0.02269730344414711,0.06486620754003525,0.06486620754003525,0.0007565767814715703,0.002162206918001175,0.002162206918001175,reference_final_trunk_relu
ChemKAN,1,plotted,results/reproduction/chemkan/biodiesel/noise/noise01_seed0,0.03158406540751457,0.0690363347530365,0.06885488331317902,0.0010528021802504858,0.00230121115843455,0.002295162777105967,
DeepONet,1,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise01_seed0,0.02327771857380867,0.06312258541584015,0.06315051019191742,0.000775923952460289,0.002104086180528005,0.002105017006397247,reference_final_trunk_relu
ChemKAN,2,plotted,results/reproduction/chemkan/biodiesel/noise/noise02_seed0,0.03385623171925545,0.07036580890417099,0.06867881119251251,0.001128541057308515,0.0023455269634723662,0.0022892937064170837,
DeepONet,2,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise02_seed0,0.02481159195303917,0.06148941442370415,0.058891624212265015,0.0008270530651013057,0.002049647147456805,0.001963054140408834,reference_final_trunk_relu
ChemKAN,3,plotted,results/reproduction/chemkan/biodiesel/noise/noise03_seed0,0.04715109243988991,0.07913140952587128,0.07065080851316452,0.0015717030813296635,0.002637713650862376,0.002355026950438817,
DeepONet,3,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise03_seed0,0.028215348720550537,0.07331699132919312,0.0665522962808609,0.0009405116240183512,0.002443899710973104,0.002218409876028697,reference_final_trunk_relu
ChemKAN,5,plotted,results/reproduction/chemkan/biodiesel/noise/noise05_seed0,0.048136744648218155,0.09069150686264038,0.07010368257761002,0.0016045581549406051,0.0030230502287546795,0.002336789419253667,
DeepONet,5,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise05_seed0,0.039319463074207306,0.0773601308465004,0.060828763991594315,0.0013106487691402434,0.0025786710282166797,0.002027625466386477,reference_final_trunk_relu
ChemKAN,7,plotted,results/reproduction/chemkan/biodiesel/noise/noise07_seed0,0.06272152811288834,0.10240606963634491,0.07068026810884476,0.0020907176037629443,0.0034135356545448303,0.002356008936961492,
DeepONet,7,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise07_seed0,0.054487694054841995,0.08365891873836517,0.05542508512735367,0.0018162564684947333,0.0027886306246121726,0.0018475028375784556,reference_final_trunk_relu
ChemKAN,10,plotted,results/reproduction/chemkan/biodiesel/noise/noise10_seed0,0.09555833041667938,0.14160993695259094,0.06760521233081818,0.0031852776805559794,0.004720331231753031,0.002253507077693939,
DeepONet,10,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise10_seed0,0.08541575074195862,0.17556102573871613,0.10161807388067245,0.0028471916913986204,0.005852034191290537,0.0033872691293557484,reference_final_trunk_relu
ChemKAN,15,plotted,results/reproduction/chemkan/biodiesel/noise/noise15_seed0,0.17236867547035217,0.20109376311302185,0.062276601791381836,0.005745622515678406,0.006703125437100729,0.0020758867263793944,
DeepONet,15,plotted,results/reproduction/baselines/deeponet/biodiesel/reference_final_trunk_relu/noise/noise15_seed0,0.1605863720178604,0.2017495185136795,0.053794015198946,0.005352879067262014,0.006724983950455983,0.0017931338399648667,reference_final_trunk_relu
ChemKAN,0,replay,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0,0.062016528099775314,0.08140052855014801,0.08140052855014801,0.002067217603325844,0.0027133509516716003,0.0027133509516716003,
