T0_K,phi,reference_delay_s,chemkan_delay_s,absolute_error_s,relative_error,is_held_out,reference_peak_T_K,reference_temperature_rise_K,reference_peak_dTdt_K_per_s,chemkan_temperature_rise_K,chemkan_peak_dTdt_K_per_s,chemkan_peak_T_K,status
1000.0,0.5,0.00030399999999999996,0.000325,2.1000000000000023e-05,0.06907894736842113,False,2193.3584301868955,1193.3584301868955,44583924.274456024,5.61944580078125,154022.21875,1005.6194458007812,evaluated
1000.0,0.7,0.0003,0.00029,-9.999999999999972e-06,-0.03333333333333324,False,2476.1120629849256,1476.1120629849256,59783238.644476175,7.014404296875,187133.78125,1007.014404296875,evaluated
1000.0,0.9,0.000307,0.00031299999999999996,5.999999999999983e-06,0.019543973941368024,False,2633.0771755398537,1633.0771755398537,69311937.49893475,8.45648193359375,198791.5,1008.4564819335938,evaluated
1000.0,1.1,0.000318,0.00033299999999999996,1.4999999999999985e-05,0.04716981132075467,False,2683.1889142101068,1683.1889142101068,74700970.78196096,9.32806396484375,198638.921875,1009.3280639648438,evaluated
1000.0,1.3,0.000332,0.00033,-1.9999999999999944e-06,-0.006024096385542152,False,2661.076805983211,1661.0768059832112,76446724.55260515,9.59033203125,190521.234375,1009.59033203125,evaluated
1000.0,1.5,0.000348,0.000357,9.000000000000002e-06,0.025862068965517248,False,2605.4418341824617,1605.4418341824617,74761211.82818568,9.4752197265625,176513.671875,1009.4752197265625,evaluated
1050.0,0.5,0.000145,0.000156,1.0999999999999996e-05,0.07586206896551721,False,2246.8619340295268,1196.8619340295268,46612215.10880029,5.6055908203125,160339.359375,1055.6055908203125,evaluated
1050.0,0.7,0.00014099999999999998,0.000145,4.000000000000016e-06,0.028368794326241252,False,2517.907190843793,1467.9071908437932,61750000.780551314,7.0679931640625,191101.078125,1057.0679931640625,evaluated
1050.0,0.9,0.00014199999999999998,0.00015099999999999998,9.000000000000002e-06,0.06338028169014087,False,2669.7177346560534,1619.7177346560534,71787186.98382449,8.4970703125,201049.8125,1058.4970703125,evaluated
1050.0,1.1,0.000145,0.000156,1.0999999999999996e-05,0.07586206896551721,False,2726.8841751079526,1676.8841751079526,76710948.49567664,9.3427734375,200683.59375,1059.3427734375,evaluated
1050.0,1.3,0.000149,0.00015099999999999998,1.9999999999999944e-06,0.013422818791946272,False,2718.113692111263,1668.113692111263,78733469.50296998,9.603515625,192810.0625,1059.603515625,evaluated
1050.0,1.5,0.000154,0.000154,0.0,0.0,False,2677.579422864882,1627.579422864882,77489031.456774,9.5166015625,178771.96875,1059.5166015625,evaluated
1100.0,0.5,9.099999999999999e-05,9.3e-05,2.000000000000008e-06,0.021978021978022066,False,2286.8913739063983,1186.8913739063983,48545219.050851464,5.637451171875,168762.203125,1105.637451171875,evaluated
1100.0,0.7,8.8e-05,8.8e-05,0.0,0.0,False,2546.074692361904,1446.074692361904,63733542.37879062,7.234130859375,196289.0625,1107.234130859375,evaluated
1100.0,0.9,8.8e-05,9.099999999999999e-05,2.9999999999999916e-06,0.034090909090909,False,2690.45514805501,1590.4551480550099,73693792.46030962,8.6644287109375,205993.65625,1108.6644287109375,evaluated
1100.0,1.1,8.9e-05,9.499999999999999e-05,5.999999999999997e-06,0.06741573033707862,False,2746.4882333295905,1646.4882333295905,78313906.68520606,9.4990234375,204711.921875,1109.4990234375,evaluated
1100.0,1.3,9.099999999999999e-05,8.8e-05,-2.9999999999999916e-06,-0.03296703296703288,False,2741.4467762705717,1641.4467762705717,79949172.92218089,9.7489013671875,196167.0,1109.7489013671875,evaluated
1100.0,1.5,9.4e-05,8.599999999999999e-05,-8.000000000000005e-06,-0.08510638297872346,False,2706.0257541277147,1606.0257541277147,80744017.18394113,9.6494140625,184204.109375,1109.6494140625,evaluated
1150.0,0.5,6.4e-05,6.1e-05,-2.9999999999999984e-06,-0.04687499999999998,False,2324.5333570650073,1174.5333570650073,50105138.103387356,5.706787109375,176452.640625,1155.706787109375,evaluated
1150.0,0.7,6.2e-05,5.9999999999999995e-05,-2.000000000000008e-06,-0.032258064516129156,False,2572.5634426535225,1422.5634426535225,64431888.18011892,7.411865234375,201354.984375,1157.411865234375,evaluated
1150.0,0.9,6.1e-05,6.3e-05,2.000000000000001e-06,0.03278688524590166,False,2709.872325272937,1559.872325272937,74972887.29188454,8.836669921875,207519.53125,1158.836669921875,evaluated
1150.0,1.1,6.2e-05,6.2e-05,0.0,0.0,False,2764.1648619189064,1614.1648619189064,80633709.46327186,9.6689453125,207031.25,1159.6689453125,evaluated
1150.0,1.3,6.3e-05,5.9e-05,-4.000000000000002e-06,-0.06349206349206353,True,2761.5843187660626,1611.5843187660626,82784425.04504251,9.9129638671875,199340.8125,1159.9129638671875,evaluated
1150.0,1.5,6.5e-05,5.4e-05,-1.0999999999999996e-05,-0.16923076923076918,False,2729.8971231142636,1579.8971231142636,82130983.18651938,9.80078125,186401.375,1159.80078125,evaluated
1200.0,0.5,4.8e-05,4.2999999999999995e-05,-5.000000000000006e-06,-0.1041666666666668,False,2360.746719787223,1160.746719787223,50368210.84495795,5.798095703125,184021.0,1205.798095703125,evaluated
1200.0,0.7,4.6e-05,4.2999999999999995e-05,-3.000000000000005e-06,-0.06521739130434794,False,2598.0144560494623,1398.0144560494623,65396191.58828211,7.5750732421875,204956.046875,1207.5750732421875,evaluated
1200.0,0.9,4.4999999999999996e-05,4.4999999999999996e-05,0.0,0.0,False,2728.624877271248,1528.624877271248,75739131.89812231,8.9906005859375,211730.953125,1208.9906005859375,evaluated
1200.0,1.1,4.6e-05,4.4999999999999996e-05,-1.000000000000004e-06,-0.021739130434782695,False,2781.0695406198506,1581.0695406198506,80673996.06191158,9.826171875,209228.515625,1209.826171875,evaluated
1200.0,1.3,4.6e-05,4.1e-05,-4.9999999999999996e-06,-0.10869565217391304,False,2780.3918401061073,1580.3918401061073,82430005.04600906,10.070068359375,202392.578125,1210.070068359375,evaluated
1200.0,1.5,4.8e-05,3.7999999999999995e-05,-1.0000000000000006e-05,-0.20833333333333345,False,2751.8223201583687,1551.8223201583687,82268556.34631193,9.950439453125,190246.578125,1209.950439453125,evaluated
