metric,paper,H0,Hnorm1,paper_source
Networks / parameters,1 / 344,1 / 344,1 / 344,"Table I, p. 17"
Predicted states,9 species + temperature,9 species + temperature,9 species + temperature,"Fig. 7 / Table I, pp. 15–17"
Training-point MSE at 1000 K (range over six points),order 1e-4; exact range not tabulated,1.497e+00–2.310e+00,5.025e-01–9.462e-01,"Fig. 8A discussion, p. 16"
Unseen-point MSE at 987.5 K (range over 21 points),order 1e-3; exact range not tabulated,1.297e+00–2.304e+00,9.313e-01–3.467e+00,"Fig. 8A discussion, p. 16"
Held-out trajectory MSE,exact scalar not reported,3.1461e+00,2.0879e-01,"Fig. 7, p. 15"
441-grid median trajectory MSE,not reported,2.6576e+00,2.5355e-01,"Fig. 8A, p. 16"
Ignition on reference-igniting cases,30 cases plotted,0/30,30/30,"Fig. 8B, pp. 16–17"
Extra ignition where reference does not ignite,not tabulated,0,2,"Fig. 8B, pp. 16–17"
Median absolute relative ignition-delay error,not reported; agreement described qualitatively,undefined: no ignition,28.9%,"Fig. 8B, pp. 16–17"
Inference speed-up,2.0x (Arrhenius.jl),0.14x (local PyTorch/Cantera),0.50x (local PyTorch/Cantera),"Table I, p. 17"
