condition,role,species,learned_thermo_linear,cantera_initial_K,cantera_pre_ignition_K,cantera_ignition_K,cantera_post_ignition_K
1050/0.9,training,H2,-18.278,-7256.9,-7257.1,-13361.0,-22100.0
1050/0.9,training,H,15.226,-152740.4,-152740.4,-150862.7,-154215.8
1050/0.9,training,O,16.786,-10918.8,-10918.8,-10713.4,-10863.2
1050/0.9,training,O2,-18.772,-503.7,-503.7,-942.7,-1545.2
1050/0.9,training,OH,19.462,-2395.0,-2395.0,-3028.9,-4001.6
1050/0.9,training,H2O,18.333,7818.9,7818.9,6212.6,4284.8
1050/0.9,training,HO2,3.517,-888.5,-888.5,-1477.1,-2337.9
1050/0.9,training,H2O2,2.497,1838.2,1838.2,875.2,-372.8
1050/0.9,training,N2,-0.54,-543.8,-543.8,-1019.8,-1672.0
1050/0.9,training,__state_initial__,,1050.0,,,
1050/0.9,training,__state_pre_ignition__,,,1050.0,,
1050/0.9,training,__state_ignition__,,,,1731.9,
1050/0.9,training,__state_post_ignition__,,,,,2669.7
1150/1.3,held-out,H2,-18.278,-7398.3,-7399.4,-13836.8,-20733.6
1150/1.3,held-out,H,15.226,-138081.5,-138081.1,-136517.7,-139618.3
1150/1.3,held-out,O,16.786,-9861.0,-9861.0,-9675.6,-9827.8
1150/1.3,held-out,O2,-18.772,-516.4,-516.5,-975.3,-1448.1
1150/1.3,held-out,OH,19.462,-2254.3,-2254.4,-2928.6,-3700.2
1150/1.3,held-out,H2O,18.333,6866.5,6866.2,5193.1,3703.0
1150/1.3,held-out,HO2,3.517,-883.2,-883.3,-1507.6,-2187.8
1150/1.3,held-out,H2O2,2.497,1535.8,1535.6,527.0,-444.8
1150/1.3,held-out,N2,-0.54,-557.3,-557.4,-1056.1,-1566.1
1150/1.3,held-out,__state_initial__,,1150.0,,,
1150/1.3,held-out,__state_pre_ignition__,,,1150.1,,
1150/1.3,held-out,__state_ignition__,,,,1947.2,
1150/1.3,held-out,__state_post_ignition__,,,,,2761.6
