coefficient_reference_state,condition,role,T_ref_K,cp_mass,initial_T,peak_T,final_T,T_rise,ignition_delay_s,ignites,trajectory_MSE,temperature_MSE
"none (baseline, as trained)",1050/0.9,training,,,1050.0,1058.007568359375,1058.0010986328125,8.007568359375,,False,2.8144240379333496,25.510190963745117
initial,1050/0.9,training,1050.0,1517.4,1050.0,2891.999755859375,2891.999755859375,1841.999755859375,0.0001346938775510204,True,3.7774577140808105,0.762756884098053
pre_ignition,1050/0.9,training,1050.0,1517.4,1050.0,2892.000732421875,2892.000732421875,1842.000732421875,0.0001346938775510204,True,3.7774977684020996,0.7627766132354736
ignition,1050/0.9,training,1731.9,1629.5,1050.0,2810.59619140625,2810.59619140625,1760.59619140625,0.0001346938775510204,True,3.436427593231201,0.35059958696365356
post_ignition,1050/0.9,training,2669.7,1719.5,1050.0,2741.1064453125,2741.1064453125,1691.1064453125,0.00014693877551020406,True,3.087925434112549,0.12043318897485733
"none (baseline, as trained)",1150/1.3,held-out,,,1150.0,1159.597900390625,1159.580810546875,9.597900390625,,False,3.1555752754211426,29.800447463989258
initial,1150/1.3,held-out,1150.0,1693.4,1150.0,2969.554443359375,2969.554443359375,1819.554443359375,6.122448979591836e-05,True,4.033745765686035,0.5681096911430359
pre_ignition,1150/1.3,held-out,1150.1,1693.5,1150.0,2969.53955078125,2969.53955078125,1819.53955078125,6.122448979591836e-05,True,4.033696174621582,0.5680358409881592
ignition,1150/1.3,held-out,1947.2,1833.3,1150.0,2879.831298828125,2879.831298828125,1729.831298828125,6.122448979591836e-05,True,3.7189178466796875,0.2548941671848297
post_ignition,1150/1.3,held-out,2761.6,1912.8,1150.0,2826.873779296875,2826.873779296875,1676.873779296875,6.122448979591836e-05,True,3.5251784324645996,0.1629188060760498
