model,width,parameters,train_loss,test_loss,train_loss_late_median,train_late_min,train_late_max,source,reused
ChemKAN,2,78,0.3669866621494293,0.46150583028793335,0.39819078147411346,0.36703765392303467,0.4430384635925293,results/reproduction/chemkan/biodiesel/scaling/h02_seed0/checkpoint_final.pt,False
ChemKAN,3,117,0.04685179144144058,0.07188231498003006,0.05408394895493984,0.04686485975980759,0.06315543502569199,results/reproduction/chemkan/biodiesel/scaling/h03_seed0/checkpoint_final.pt,False
ChemKAN,4,156,0.0683738961815834,0.11164325475692749,0.07526267692446709,0.06748750060796738,0.1550697535276413,results/reproduction/chemkan/biodiesel/noise/clean_replay_seed0/checkpoint_epoch_5000.pt,True
ChemKAN,10,390,0.05237250402569771,0.06487270444631577,0.042397987097501755,0.03406178951263428,0.21265849471092224,results/reproduction/chemkan/biodiesel/scaling/h10_seed0/checkpoint_final.pt,False
ChemKAN,17,663,0.0899452418088913,0.14363065361976624,0.11085257679224014,0.08919408172369003,0.13973362743854523,results/reproduction/chemkan/biodiesel/scaling/h17_seed0/checkpoint_final.pt,False
DeepONet,3,85,0.21640881896018982,0.35941842198371887,0.21648486703634262,0.21640877425670624,0.21707816421985626,results/reproduction/baselines/deeponet/biodiesel/scaling/w03_seed0/checkpoint_final.pt,False
DeepONet,5,169,0.15114691853523254,0.2538715600967407,0.15117088705301285,0.1511445790529251,0.15250727534294128,results/reproduction/baselines/deeponet/biodiesel/scaling/w05_seed0/checkpoint_final.pt,False
DeepONet,6,220,0.5648418664932251,0.6714171171188354,0.5648379921913147,0.5648378133773804,0.5649535059928894,results/reproduction/baselines/deeponet/biodiesel/scaling/w06_seed0/checkpoint_final.pt,False
DeepONet,8,340,0.12943312525749207,0.22386181354522705,0.12944574654102325,0.1294298619031906,0.129724383354187,results/reproduction/baselines/deeponet/biodiesel/scaling/w08_seed0/checkpoint_final.pt,False
DeepONet,10,484,0.130824476480484,0.25745078921318054,0.13083012402057648,0.13082446157932281,0.13147760927677155,results/reproduction/baselines/deeponet/biodiesel/scaling/w10_seed0/checkpoint_final.pt,False
DeepONet,13,745,0.019994553178548813,0.07514230161905289,0.019962865859270096,0.019936028867959976,0.02090885117650032,results/reproduction/baselines/deeponet/biodiesel/scaling/w13_seed0/checkpoint_final.pt,False
